# Generated by tools/dictgen — do not edit by hand.
# Language: Indonesian (id)
# Format: word|band|from|pos — what each word is. What it means is in
# gloss.<language>.txt, joined to this file on the headword.
#
# The band column is empty for any word ranks.txt ranks: the band is computed
# from the rank there. It is filled only for words the corpus never ranked.
yang|||
dan|||
di|||
ke|||
dari|||
ini|||
itu|||pron.;part.
bidang|||
waspada|||adj.
sms|||
fasilitas|||
maya|||
tuntut|||
inspektur|||
busuk|||adj.
tampil|||
keju|||
ganja|||
hallo|||
puisi|||
zona|||
sandera|||
tempur|||
libat|||
pipa|||
simbol|||
kostum|||
misterius|||adj.
favorit|||
kamp|||
giliran|||
langgar|||
perdana|||
sekretaris|||
pengaruh|||
tantang|||
jebak|||
panah|||
domba|||
ksatria|||
momen|||
umat|||
indonesia|||
ungkap|||
kaum|||
bulu|||
sabuk|||
bijaksana|||adj.
puteri|||
negatif|||
hadirin|||
cerah|||adj.
trims|||
jaket|||
kembar|||
egois|||adj.
kandang|||
majalah|||
topeng|||
alpha|||
pola|||
tabrak|||
baris|||
tradisi|||
baja|||
ngomong|||
ngomong-ngomong|||adv.
samar|||adj.
total|||
tahap|||
perduli|||
sarang|||
solusi|||
juri|||
larut|||v.;adj.
tagih|||
divisi|||
perangkap|||
sekaligus|||
internasional|||
keliling|||
mesir|||
ketuk|||
mesti|||
insiden|||
laboratorium|||
langka|||adj.
jendral|||
yunani|||
aktor|||
prancis|||
ritual|||
hamba|||
rute|||
karna|||
lipat|||
infeksi|||
sidang|||
tato|||
singgung|||
positif|||adj.
online|||
seksual|||
nampak|||
unik|||adj.
berisik|||adj.
setir|||n.;v.
bajak|||
serangga|||
inap|||
kendara|||
umpan|||
sangka|||
suster|||
perilaku|||
reporter|||
aigoo|||
pejuang||juang|
ijin|||
sensitif|||adj.
cerai|||
teknis|||
jerit|||
klasik|||
jet|||
pidato|||
level|||
gelisah|||adj.
amin|||
hajar|||
payudara|||
pecandu||candu|
artikel|||
akrab|||adj.
sejenak|||
modern|||
tembus|||
wabah|||
cacat|||n.;adj.
liat|||
bravo|||
status|||
petualang|||
petualangan||petualang|
cokelat|||
curang|||
tarung|||
kalung|||
manik-manik|||n.
aba-aba|||n.
sampel|||
sok|||
reaksi|||
nyenyak|||adv.
logam|||
karir|||
pirang|||
curiga|||adj.
kait|||
nada|||
giat|||
kristen|||
gendut|||adj.
usir|||
bangsawan|||
narator|||
tunduk|||
ternak|||
memori|||
kacamata|||
babak|||
tur|||
koin|||
hendak|||
padang|||
spesies|||
separuh||paruh|
standar|||
lilin|||
nyaris|||
mahu|||
galaksi|||
bersikeras|||
jarum|||
terobos|||
properti|||
pers|||
gravitasi|||
protokol|||
prosedur|||
asia|||
rantai|||
goda|||
tepuk|||
investigasi|||
emosional|||adj.
piano|||
selera|||
strategi|||
kandung|||v.;n.
badut|||
lenyap|||
oksigen|||
rela|||
kembang|||
bis|||
robek|||
mendadak||dadak|adv.
tinju|||
hyung|||
info|||
orangtua|||
licik|||adj.
patroli|||
populer|||adj.
latar|||
sah|||
versi|||
marinir|||
konferensi|||
timbul|||
wajar|||
petir|||
garasi|||
bedah|||
intelijen|||
ambulans|||
final|||
lega|||adj.
ngobrol|||
sinting|||
peradaban|||
jus|||
bunyi|||
mental|||
bergegas|||
ialah|||
sofa|||
pop|||
urut|||
ipar|||
ilmiah|||
global|||
koneksi|||
pulih|||
siksa|||
siluman|||
jengkel|||
terbit|||
original|||
terobsesi||obsesi|
upaya|||
semenjak|||
tukar|||
kutu|||
bagaikan|||
dongeng|||
buronan|||
otomatis|||
pangkalan|||
terjun|||
pakistan|||
lebar|||adj.
cacing|||
perhiasan||hiasan|
plastik|||
dewi|||
seniman|||
ceo|||
pemadam||padam|
ceroboh|||adj.
aset|||
tamat|||
syuting|||
fikir|||
utuh|||
karet|||
studio|||
koper|||
kanada|||
keliru|||
panggang|||
perwira|||
asrama|||
runduk|||
cair|||
ras|||
festival|||
hina|||
ronde|||
bak|||prep.;n.
amunisi|||
grand|||
show|||
porno|||
audisi|||
bokong|||
cipta|||
saraf|||
motel|||
wenang|||
gugur|||
panti|||
tusuk|||
pena|||
fantastis|||adj.
inci|||
mitra|||
komando|||
hisap|||
sekutu|||
pergelangan||gelang|
kristal|||
miliar|||
kerana|||
ribut|||adj.
tragedi|||
radiasi|||
yatim|||
arab|||
elang|||
madam|||
thailand|||
konsentrasi|||
mula|||
mula-mula|||adv.
memulakan||mula|v.
konser|||
saus|||
dering|||
tangki|||
republik|||
brilian|||
liga|||
buddha|||
bangkrut|||
tengkorak|||
kitab|||
saku|||
komisaris|||
celaka|||adj.;interj.
keledai|||
aroma|||
jantan|||adj.;adj.
reputasi|||
cakap|||adj.;v.
jago|||
kongres|||
tiang|||
beneran||bener|
dermaga|||
kiamat|||
mawar|||
klan|||
nazi|||
gagasan|||
evakuasi|||
organ|||
meriam|||
benam|||
remeh|||
mafia|||
asuh|||
mantel|||
nomer|||
ramu|||
firasat|||
cedera|||
karun|||
efektif|||adj.
sekejap|||
sangkal|||
ekstra|||
susul|||
juru|||
sandwich|||
teks|||
esok|||
roket|||
jangka|||
nafsu|||
bagasi|||
rinci|||
andal|||
sains|||
waris|||
perisai|||
koleksi|||
laki|||
laki-laki|||n.;adj.
transaksi|||
manual|||
lencana|||
banteng|||
trauma|||
prioritas|||
sesi|||
terdakwa||dakwa|
sirkus|||
gelang|||
sektor|||
patut|||
detail|||
hidang|||
identifikasi|||
kilometer|||
forensik|||
panjat|||
luncur|||
revolusi|||
desain|||
struktur|||
piala|||
era|||
moral|||
gelandangan||gelandang|
semula||mula|
duta|||
pandu|||
cabang|||
celah|||
sutradara|||
kontes|||
tenda|||
romawi|||
kencang|||adj.;adj.;adj.;adj.
vagina|||
sekian|||
jas|||
jubah|||
daki|||
patuh|||adj.
koboi|||
kokain|||
detak|||
kabin|||
potensi|||
konfirmasi|||
ngapain|||
sorak|||
skor|||
motif|||
cenderung|||
swasta|||
dini|||
salib|||
jimat|||
imbang|||
amal|||
irlandia|||
saudari|||
rancang|||
subjek|||
beku|||
gps|||
frekuensi|||
erat|||adj.
pink|||
burger|||
cabut|||
incar|||
rudal|||
klaim|||
investasi|||
supir|||
australia|||
prihatin|||
bedebah|||
tahta|||
tuli|||
nyali|||
lapis|||
album|||
peringkat|||
picu|||
spesifik|||adj.
seri|||
kaleng|||
selam|||
undur|||
enyahlah|||
maha|||
kera|||
dengus|||
biro|||
meleset|||
rekor|||
akademi|||
tragis|||adj.
produksi|||
abang|||
komentar|||
balon|||
depresi|||
skala|||
tebing|||
dinosaurus|||
intel|||
elemen|||
partner|||
atom|||
teluk|||
kaku|||adj.
hp|||
saing|||
rangkak|||
alkitab|||
layang|||
layang-layang|||n.
siaga|||
tombak|||
transportasi|||
selingkuh|||
sesal|||
server|||
helm|||
insinyur|||
dek|||
psikopat|||
latin|||
koordinat|||
jamur|||
genetik|||
arena|||
dasi|||
kastil|||
canggung|||adj.
usai|||
meteor|||
dimensi|||
bantai|||
landas|||
retas|||
perkara|||
novel|||
paspor|||
mitos|||
jangkau|||
teater|||
buas|||
juang|||
edar|||
pon|||
kutub|||
irak|||
halloween|||
seret|||
granat|||
skotlandia|||
botak|||
armada|||
kasino|||
ulah|||
jitu|||
waras|||
psikiater|||
biksu|||
aktivitas|||
bubuk|||
desah|||
betina|||
sampanye|||
tunangan|||
bonus|||
kawin|||
kaos|||
aula|||
terkekeh|||
teknisi|||
basket|||
surya|||
jurang|||
imut|||adj.
gen|||
konsep|||
tenggorokan|||
respon|||
ngga|||
laser|||
magnet|||
eksperimen|||
segel|||
visi|||
soda|||
kelelawar|||
dramatis|||adj.
astronot|||
bioskop|||
padat|||adj.
tawan|||
elektronik|||
distrik|||
canggih|||adj.
lumpuh|||
kudus|||
pelihara|||
semester|||
materi|||
kritis|||
permanen|||
kawat|||
retak|||
bocor|||
agresif|||adj.
imbalan|||
banci|||
utusan||utus|
skenario|||
komite|||
catur|||
brutal|||adj.
massa|||
purnama|||
karpet|||
buntu|||
sulap|||
intip|||
muslim|||
maut|||
ekspresi|||
pondok|||
afghanistan|||
pompa|||
sultan|||
kompleks|||
apabila|||
mahir|||adj.
gairah|||
dampak|||
gemetar|||
privasi|||
lampau|||
nabi|||
kala|||
ninja|||
transfer|||
matang|||adj.
konstruksi|||
prinsip|||
tiru|||
sensor|||
kandidat|||
inspirasi|||
mentega|||
biji|||
borgol|||
janda|||
instruksi|||
islam|||
magang|||
keponakan|||
candu|||
lonceng|||
bel|||n.
cctv|||
kedai|||
teror|||
fantasi|||
intai|||
paruh|||
profil|||
pameran||pamer|
rangka|||
ketimbang||timbang|
sembarangan|||
induk|||
negosiasi|||
kombinasi|||
joker|||
bungkuk|||
tatap|||
musa|||
gol|||
disiplin|||
arsip|||
transmisi|||
asumsi|||
salad|||
pencar|||
denyut|||
kelola|||
kesalahpahaman|||
macan|||
cabul|||
belati|||
lahan|||
preman|||
injak|||
memar|||
arwah|||
faham|||
laksamana|||
turnamen|||
simpang|||
susup|||
informan|||
bisbol|||
objek|||
deputi|||
taktik|||
gunting|||
opsir|||
konsekuensi|||
jasad|||
pendamping||damping|
bandar|||
periode|||
hemat|||
rayu|||
ilusi|||
tegas|||adj.
takluk|||
dekade|||
kerumunan||kerumun|
bubar|||
mode|||
lekas|||
kelak|||
gangster|||
pemilu|||
judi|||
karunia|||
turki|||
batang|||
wiski|||
pesona|||
konspirasi|||
mesum|||
aktris|||
timpa|||
kemah|||
suri|||
kelamin|||
label|||
regu|||
wahai|||
jasa|||
hasrat|||
produser|||
imam|||
pucat|||adj.
rawa|||
biara|||
anu|||
dosis|||
doktor|||
repot|||
repot-repot|||v.
studi|||
vodka|||
tanduk|||
alternatif|||
plat|||
praktek|||
komik|||
kopral|||
benang|||
deteksi|||
tuntun|||
israel|||
seiring||iring|
soviet|||
khas|||adj.
naskah|||
gym|||
imajinasi|||
antik|||
rapuh|||adj.
bandit|||
komunis|||
baku|||
lunak|||adj.
tega|||
naif|||adj.
kapak|||
tradisional|||
evolusi|||
keranjang|||
bius|||
zat|||
otoritas|||
padu|||
cakar|||
gagak|||
akting|||
kedip|||
ekstrim|||adj.
getar|||
panda|||
orbit|||
merpati|||
generator|||
kondom|||
pastor|||
piatu|||
kurung|||
noda|||
eksekutif|||
partikel|||
haram|||
ejek|||
merdeka|||
sepadan|||
agensi|||
politisi|||
korek|||n.;v.
editor|||
populasi|||
karang|||
bala|||
payung|||
angsa|||
mood|||
padam|||
laju|||
pasok|||
pembuluh|||
interogasi|||
sumur|||
katolik|||
paranoid|||adj.
duyung|||
isyarat|||
cerdik|||adj.
internal|||
pendekar|||
ceria|||
jernih|||
kaset|||
individu|||
delta|||
rutin|||
rok|||
web|||
makna|||
santun|||
kawasan|||
susur|||
sd|||
moyang|||
plus|||
nongkrong|||
lantas|||
brankas|||
tumpah|||
praktis|||adj.
panel|||
tindak|||
steak|||
rekrut|||
karbon|||
rentan|||adj.
nelayan|||
sosis|||
rel|||
tengkar|||
kerabat|||
cukur|||
spesialis|||
traktir|||
koridor|||
perimeter|||
opera|||
tupai|||
tampung|||
komisi|||
manajemen|||
pasta|||
busur|||
kargo|||
skandal|||
olimpiade|||
hantam|||
lemon|||
parfum|||
tengok|||
perkosa|||
kampret|||
mall|||
kreatif|||adj.
fans|||
fiksi|||
jurnal|||
kentut|||
koloni|||
meleleh|||
hobi|||
biskuit|||
cita|||
cita-cita|||n.
segitiga|||
eksekusi|||
monitor|||
sekilas|||
psikologi|||
keji|||adj.
cabe|||
terpencil|||adj.
fatal|||adj.
pipis|||
bincang|||
pita|||
tirai|||
bata|||
donat|||
database|||
visual|||
digital|||
perkasa|||
reuni|||
pengemis|||
dvd|||
pintas|||
metropolis|||
samurai|||
turis|||
peras|||
sukarela|||
aksen|||
heroin|||
predator|||
pantau|||
kadal|||
rusuh|||
pramuka|||
amatir|||
gulung|||
pake|||
isteri|||
panen|||
zoom|||
serum|||
ngerti|||
leluhur|||
rompi|||
amarah|||
sipir|||
huni|||
loteng|||
organik|||
smp|||
ambisi|||
punk|||
jelajah|||
serakah|||adj.
mutiara|||
relevan|||
werewolf|||
ventilasi|||
harfiah|||
komitmen|||
poster|||
hacker|||
mini|||
naluri|||
formulir|||
labu|||
ski|||
legal|||
wine|||
mekanik|||
sari|||
manipulasi|||
bilik|||
pbb|||
rangkai|||
sita|||
royal|||
pepatah||patah|
usus|||
narapidana|||
lembar|||
anggaran|||
cap|||
pasifik|||
kuba|||
prestasi|||
poker|||
sangkut|||
ganas|||adj.
masturbasi|||
pijat|||
gelincir|||
lobi|||
longgar|||adj.
bual|||
geli|||
formula|||
lem|||
musnah|||
nurani|||
pengertian||ngerti|
pelangi|||
ayuh|||
mangsa|||
erang|||
rampas|||
memudar||pudar|
kunyah|||
kafe|||
sepatah||patah|
oceh|||
ranjau|||
atlet|||
smu|||
gores|||
bujuk|||
kantung|||
bunker|||
sensasi|||
uap|||
gandum|||
berlagak|||
radius|||
simpati|||
empati|||n.
berempati||empati|v.
selai|||
jerami|||
mayday|||
superhero|||
reaktor|||
yoga|||
lesbian|||
alias|||
berjaya||jaya|
suap|||
meriah|||
jati|||
piramida|||
euro|||
konsultan|||
partisipasi|||
ginjal|||
musisi|||
parasit|||
raga|||
realitas|||
tersanjung||sanjung|
insting|||
bareng|||
limbah|||
kembara|||
presentasi|||
demokrasi|||
sutra|||
sandung|||
kalkun|||
logis|||
ayun|||
bising|||
renggut|||
dinasti|||
pelatuk|||
dinas|||
pamer|||
kebal|||adj.
tetes|||
kursus|||
hambat|||
unggul|||
sesak|||adj.
polos|||adj.
terengah|||
asosiasi|||
spiritual|||
tiri|||
tampar|||
vip|||
menantu|||
interpol|||
uskup|||
argumen|||
masker|||
loker|||
pengen|||
kekal|||
setara|||
tinta|||
otopsi|||
mencolok|||adj.
selusin||lusin|
maksimal|||
labirin|||
mekar|||
fenomena|||
geram|||
amuk|||
aliansi|||
balai|||
mutan|||
panglima|||
korup|||
punah|||
stress|||
gelembung|||
tumor|||
idap|||
sengsara|||
rengek|||
ungsi|||
lajang|||
ambang|||
dukun|||
cemerlang|||adj.
riwayat|||
kontraktor|||
selokan|||
galeri|||
siklus|||
jaya|||
julukan||juluk|
jurnalis|||
kerdil|||
gertak|||
kumis|||
gonggong|||
lisensi|||
tol|||
gerobak|||
fashion|||
misil|||
tabib|||
investor|||
atmosfer|||
formal|||adj.
referensi|||
invasi|||
rekomendasi|||
tisu|||
datar|||
singgah|||
pangkat|||
protein|||
fotografer|||
penjuru||juru|
abdi|||
bubur|||
pelecehan||leceh|
tempo|||
mempelai|||
bakteri|||
parade|||
administrasi|||
hela|||v.;n.
serap|||
penggal|||
sukacita|||
piknik|||
molekul|||
percik|||
manja|||
logika|||
swedia|||
karantina|||
kantuk|||
minat|||
lekat|||
venus|||
adaptasi|||
rintang|||
mutlak|||
vatikan|||
ego|||
saji|||
komet|||
alibi|||
rahmat|||
massal|||
fase|||
gaib|||
sketsa|||
mogok|||
suram|||adj.
jilat|||
perompak|||
kasim|||
usang|||
biarawati|||
vegetarian|||
kurir|||
dayung|||
sadis|||adj.
kapsul|||
dandan|||
ulur|||
selebriti|||
telapak|||
rasional|||adj.
goyang|||
tenis|||
personil|||
frustasi|||
dungu|||
eksklusif|||
penyair|||
buruh|||
tornado|||
bener|||
teras|||
beranda|||n.
wadah|||
dampar|||
signifikan|||adj.
jorok|||adj.
todong|||
stadion|||
gencatan|||
karate|||
sandar|||
samudera|||
anugerah|||
berkah|||
proposal|||
kilau|||
kejang|||
tuna|||n.;pref.
kurcaci|||
mister|||
hoki|||
sepele|||
ideal|||
wisata|||
sertifikat|||
kompi|||
peluit|||
semak|||
simulasi|||
biologis|||
elit|||
familiar|||adj.
dangkal|||adj.
sebanding||banding|
teler|||
mampus|||
wangi|||adj.
gemas|||
maniak|||
trailer|||
bisu|||
serbu|||
visa|||
gerombolan|||
mendidih||didih|
bidik|||
duit|||
mengemis|||
efisien|||adj.
orgasme|||
tequila|||
karung|||
cerewet|||adj.
popok|||
software|||
hening|||
sekop|||
cekik|||
horor|||
enggak|||
potret|||
impas|||
karma|||
supernatural|||
kungfu|||
bartender|||
geledah|||
indra|||
senter|||
edisi|||
sirkuit|||
tablet|||
unta|||
gulat|||
megah|||adj.
tahi|||
kardinal|||
keesokan||esok|
asma|||
drone|||
deskripsi|||
cicip|||
kumbang|||
sumbang|||
basis|||
arsitek|||
adopsi|||
utus|||
irama|||
taat|||adj.
balet|||
kapasitas|||
parlemen|||
password|||
tenar|||
akuntan|||
kolektor|||
gugat|||
optimis|||adj.
polandia|||
prediksi|||
tuang|||
kartun|||
kutipan||kutip|
bahawa|||
stroke|||
parit|||
tunawisma|||
upah|||
elegan|||adj.
rasis|||
gerhana|||
bankir|||
lobster|||
sepakbola|||
sunyi|||adj.
kolom|||
ironis|||
ala|||
kafir|||
pm|||
lusin|||
penguntit|||
injil|||
komersial|||
teleskop|||
altar|||
sastra|||
halusinasi|||
parasut|||
belaka|||
lelang|||
obsesi|||
tenggara|||
bimbing|||
sekongkol|||
bolos|||
golong|||
pidana|||
rasuk|||
uni|||
bowling|||
mineral|||
baur|||
dialog|||
paranormal|||
almarhum|||
instrumen|||
admiral|||
debar|||
lancang|||adj.
obor|||
lengah|||
kompensasi|||
dam|||
veteran|||
menjelang|||
mentah|||
naksir|||
minimal|||
psikologis|||
lensa|||
majikan|||
hampa|||adj.
kompas|||
jalin|||
aspek|||
maksimum|||
loncat|||
isolasi|||
narkotika|||
selang|||
jenggot|||
bangkai|||
kumuh|||
metro|||
hormon|||
rileks|||
hamburger|||
bara|||
ludah|||
yakuza|||
sukar|||adj.
arang|||
sengat|||
permaisuri|||
merinding|||
terangsang||rangsang|
cerutu|||
wasiat|||
konsisten|||
skema|||
sushi|||
kancing|||
lunas|||
lirik|||
pemirsa|||
supermarket|||
biola|||
duh|||
radikal|||adj.
suar|||
ekspedisi|||
balkon|||
website|||
kinerja|||
cengeng|||
resimen|||
kriket|||
lamban|||
unicorn|||
motivasi|||
citra|||
gergaji|||
klakson|||
sandiwara|||
rehabilitasi|||
terkemuka||muka|
pencerahan||cerah|
kalender|||
gw|||
berkabung|||
jenazah|||
hawa|||
basi|||
cambuk|||
perspektif|||
bangsal|||
biarawan|||
gerbong|||
paramedis|||
patriot|||
organisme|||
paha|||
agenda|||
kepung|||
beranjak|||
kategori|||
demonstrasi|||
karat|||
norma|||
guncang|||
kantin|||
teguh|||
oven|||
mandiri|||
martabat|||
tekad|||
maestro|||
murka|||
apung|||
primitif|||adj.
tinjau|||
rombongan|||
gegabah|||adj.
sponsor|||
astronomi|||
relatif|||
hama|||
pincang|||
nyeri|||
federasi|||
sadap|||
kaliber|||
sejahtera|||
dadu|||
terapis|||
ambisius|||adj.
blokir|||
sperma|||
siul|||
jempol|||
bentur|||
statistik|||
minus|||
frustrasi|||adj.
persik|||
puting|||
bendung|||
sampul|||
antena|||
bobol|||
desainer|||
nangis|||
koktail|||
etika|||
lubuk|||
seksama|||
cakup|||
binasa|||
rutinitas|||
ultah|||
intim|||adj.
kodok|||
adu|||
kasir|||
nadi|||
sembrono|||adj.
cenayang|||
barak|||
dokumenter|||
kelana|||
kontribusi|||
tunggang|||
fitur|||
tunjang|||
kerah|||
yerusalem|||
argentina|||
sungkan|||
gagap|||
antibiotik|||
singapura|||
pura-pura|||v.
wahyu|||
kosmos|||
genetika|||
semprot|||
gembala|||
batin|||
anjungan|||
organisir|||
gorok|||
sandal|||
karnaval|||
buntut|||
iring|||
mendiang|||
pulpen|||
prototipe|||
jeruji|||
identik|||
basmi|||
kuyup|||
tengik|||
bimbang|||
hipotek|||
pion|||
pancar|||
subur|||
histeris|||
batalion|||
manuver|||
lemas|||
empuk|||
monumen|||
dinamit|||
teladan|||
petik|||
platform|||
spekulasi|||
badak|||
eksotis|||
kompromi|||
opini|||
jarah|||
villa|||
kalori|||
definisi|||
norwegia|||
aura|||
garuk|||
sejajar|||
gigih|||adj.
guling|||
sindrom|||
ulas|||
inisiatif|||
kloning|||
satpam|||
sentimental|||
ukir|||
tikam|||
personal|||
imigrasi|||
hangus|||
kitar|||
ktp|||
setimpal|||
operasional|||
kocok|||
rakit|||n.;v.
kelopak|||
keping|||
netral|||
instan|||
traktor|||
sedot|||
magis|||
kapur|||
ongkos|||
stroberi|||
diplomatik|||
angkuh|||adj.
sajak|||
alur|||
saudi|||
material|||
akhirat|||
pribumi|||
klise|||
sambar|||
labuh|||
stiker|||
kualifikasi|||
heboh|||
interaksi|||
pemukiman|||
liter|||
arteri|||
mentolerir|||
omega|||
sekoci|||
tegar|||
karaoke|||
zaitun|||
acu|||
enggan|||
geologi|||
filipina|||
pusar|||n.;v.
galon|||
berkenan||kenan|
bandel|||
dedikasi|||
perabotan|||
lowongan|||
jenguk|||
cakrawala|||
iq|||
fotografi|||
politikus|||
gulir|||
hipnotis|||
bengkak|||
selir|||
dominasi|||
minimum|||
kincir|||
haluan|||
riang|||
asik|||
kelam|||
anomali|||
tular|||
banting|||
tumit|||
helium|||
mumi|||
seminar|||
modus|||
pilar|||
oral|||
direksi|||
antisipasi|||
indikasi|||
religius|||
kavaleri|||
susut|||
adonan|||
rangkul|||
broker|||
ukraina|||
cemilan|||
plasma|||
anggun|||adj.
arsitektur|||
hindu|||
sepeser|||
lumur|||
mesiu|||
resepsionis|||
liput|||
produktif|||
tertib|||
koreksi|||
mayoritas|||
kidal|||
kompeten|||adj.
lobak|||
cacar|||
logo|||
busa|||
kalajengking|||
legiun|||
ramen|||
hirau|||
distribusi|||
alangkah|||
guci|||
publisitas|||
stok|||
poros|||
letih|||adj.
sirup|||
taiwan|||
antah|||
sulung|||
dusta|||
bentar|||
lintah|||
kiasan|||
ereksi|||
leceh|||
mamalia|||
gelitik|||
arak|||
kewalahan|||
kabinet|||
enkripsi|||
stempel|||
pinus|||
takhayul|||
kapel|||
oli|||
dobel|||
merk|||
rintih|||
norak|||adj.
keran|||
tiram|||
keputusasaan|||
disko|||
alis|||
kilap|||
syok|||
suplai|||
tobat|||
mercusuar|||
analisa|||
strategis|||
resepsi|||
kontestan|||
kambuh|||
topan|||
reservasi|||
antem|||
dakwa|||
radioaktif|||
petang|||
salut|||
voodoo|||
tropis|||
lambai|||
serbet|||
selundup|||
kanibal|||
bibit|||
pindai|||
anonim|||
janggal|||
iseng|||
aduk|||
metafora|||
giring|||
formalitas|||
kuartal|||
paten|||
menggigil|||
musikal|||
dagu|||
menguntit|||
endus|||
barel|||
barikade|||
cukai|||
babu|||
modifikasi|||
negri|||
suriah|||
skuadron|||
arkeolog|||
berpose|||
reptil|||
kedap|||
martir|||
implan|||
luput|||
cemberut|||
baut|||
teropong|||
hipotesis|||
barbekyu|||
lembab|||
iga|||
sparta|||
modul|||
tangkal|||
arogan|||
tandu|||
hafal|||
hektar|||
maraton|||
idola|||
nisan|||
galang|||
kedelai|||
kawah|||
akuarium|||
lucut|||
porsi|||
terlanjur|||
undi|||
saru|||
perunggu|||
bambu|||
detektor|||
lamun|||
puja|||
kudeta|||
interior|||
sorot|||
fakultas|||
jinak|||
kontaminasi|||
turbo|||
konselor|||
hadang|||
filosofi|||
aborsi|||
tumpul|||
letus|||
macho|||adj.
peka|||
statis|||
penyalahgunaan|||
psiko|||
filsafat|||
toleransi|||
transisi|||
hembus|||
siuman|||
institut|||
dadar|||
haru|||
ekstraksi|||
sangkar|||
antri|||
konsumsi|||
feri|||
terpuruk|||
rangsang|||
konsulat|||
batubara|||
wastafel|||
kilang|||
surel|||
elak|||
bor|||
komplikasi|||
gema|||
akut|||
mitologi|||
refleks|||
regang|||
sarana|||
galak|||
benjol|||
raut|||
vas|||
akselerator|||
ulat|||
bolong|||
radang|||
copot|||
diagnosa|||
tayang|||
dominan|||
janin|||
ledeng|||
jangkrik|||
gipsi|||
kupu|||
sahaja|||
bidadari|||
pungut|||
diplomat|||
intervensi|||
elektrik|||
resolusi|||
begadang|||
mandarin|||
dapet|||
ngebut|||
wc|||
mistis|||
puitis|||
figur|||
kompetitif|||
mutasi|||
liur|||
anting|||
anting-anting|||n.
melodi|||
reda|||
temperatur|||
kabupaten|||
konseling|||
geladak|||
tertera|||
cegat|||
variasi|||
bekal|||
kental|||adj.
jomblo|||
lonjak|||
balistik|||
gurau|||
gendong|||
kafein|||
konsul|||
asasi|||
ragam|||
kardus|||
keramat|||
spesifikasi|||
prostitusi|||
palang|||
bungsu|||
hantar|||
antartika|||
garda|||
pura|||v.;n.
komposisi|||
jenewa|||
rakus|||
sabit|||
cerna|||
dilema|||
jepit|||
tungku|||
gamma|||
esai|||
milisi|||
cilik|||
renovasi|||
pusaka|||
gigolo|||
tindas|||
juluk|||
makelar|||
jompo|||
lampias|||
oper|||
sudi|||
senandung|||
tren|||
projek|||
gawang|||
dosen|||
ngasih|||
pedal|||
konsumen|||
komplotan|||
ironi|||
lahap|||
pelampung|||
kusut|||
klinis|||
sergap|||
limpah|||
diktator|||
edan|||
tilang|||
remas|||
terjang|||
fasis|||
butir|||
ngawur|||
duniawi|||
belot|||
cuplikan|||
camilan|||
evaluasi|||
domestik|||
onar|||
dengung|||
ibrani|||
ingkar|||
skeptis|||
telepati|||
slogan|||
tirani|||
otorisasi|||
tunas|||
ramping|||
nirkabel|||
ibarat|||
kedok|||
hungaria|||
pinguin|||
pantul|||
keriput|||
terkilir|||
cepet|||
prospek|||
kelenjar|||
urat|||
kanji|||
triliun|||
impor|||
deklarasi|||
kontol|||
sekuriti|||
pamrih|||
lecet|||
komplain|||
omel|||
produsen|||
paralel|||
cakep|||
nutrisi|||
lincah|||adj.
ringkuk|||
rekreasi|||
umpat|||
kolega|||
delegasi|||
gagang|||
laundry|||
kongo|||
testis|||
proyeksi|||
awam|||
cemar|||
camkan|||
prima|||
limun|||
tarif|||
atletik|||
lereng|||
sentiasa|||
tumbang|||
nobel|||
siram|||
resor|||
pedih|||
amir|||
seruling|||
enzim|||
renung|||
virtual|||
acuh|||
steroid|||
orientasi|||
obeng|||
beruntun|||
atraksi|||
popularitas|||
prasangka|||
curah|||
sindikat|||
lengkung|||
diare|||
rumania|||
venezuela|||
brosur|||
penyu|||
genit|||
anut|||
lihai|||
jodoh|||
portugis|||
refleksi|||
pasca|||
intimidasi|||
majelis|||
rias|||
titanium|||
vulgar|||
diagnosis|||
jerapah|||
jagal|||
ampuh|||
vertikal|||
alumni|||
homoseksual|||
kanvas|||
ejakulasi|||
propaganda|||
tabah|||
sianida|||
oposisi|||
sabotase|||
restu|||
konglomerat|||
detonator|||
tapak|||
hias|||
tabir|||
pornografi|||
donasi|||
perihal|||
renyah|||
upeti|||
seluler|||
klon|||
selada|||
pikul|||
sanjung|||
genting|||adj.;n.
improvisasi|||
amandemen|||
aniaya|||
epik|||
sosialisasi|||
delusi|||
selongsong|||
lantang|||
teoritis|||
dikit|||
sosiopat|||
rezim|||
jihad|||
plester|||
selaras|||
imperial|||
milimeter|||
tenggat|||
hanyut|||
wawasan|||
pedoman|||
receh|||
tempuh|||
migrasi|||
fitnah|||
sirat|||
merajut||rajut|
redam|||
birokrasi|||
pelana|||
privat|||
nampan|||
gandeng|||
dupa|||
papah|||
embun|||
yurisdiksi|||
sensasional|||
wafel|||
rongga|||
lobang|||
lolong|||
hasut|||
saturnus|||
purba|||
curhat|||
damba|||
jangkit|||
konservatif|||
jerat|||
sintetis|||
curam|||adj.
lotre|||
spiral|||
transformasi|||
etis|||
kritikus|||
polusi|||
senam|||
suvenir|||
maling|||
nitrogen|||
ruam|||
urin|||
pikun|||
pikat|||
ngompol|||
kerudung|||
kemaren|||
sumpit|||
bedak|||
pacuan||pacu|
campak|||
bule|||
ayahanda|||
ziarah|||
minoritas|||
lazim|||
merkuri|||
