# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in French. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows French where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|tu, toi, vous (une ou plusieurs personnes)|f2s2p
tower|tour|o
increase|augmenter, croître; augmentation, hausse|v;o
data|données|o
carefully|soigneusement, avec soin|o
per|par|o
link|lien, rapport; relier, lier|o;v
healthy|en bonne santé; sain, bon pour la santé|o;o
adult|adulte; adulte, majeur|o;o
edge|bord, bordure; tranchant, fil (d'une lame)|o;o
lack|manquer de; manque, absence|v;o
confess|avouer, confesser|v
engineer|ingénieur|o
'clock|(dans o'clock) heure|o
dawn|aube, aurore; (dawn on) commencer à apparaître, venir à l'esprit|o;v
doin|en train de faire (orthographe familière de doing)|o
vacation|vacances (américain)|o
siren|(sirène, signal d'alerte)|g
mail|courrier; poster, envoyer par la poste|o;v
victory|victoire|o
treatment|traitement, soins; traitement, façon de traiter|o;o
useless|inutile, qui ne sert à rien; nul, incapable|o;o
pour|verser; pleuvoir à verse|v;v
clever|intelligent, malin|o
nerve|nerf; cran, sang-froid; culot, toupet|o;o;o
apple|pomme|o
performance|représentation, interprétation; performance, rendement|o;o
changing|changeant, en train de changer|o
exchange|échanger; échange|v;o
awake|éveillé, réveillé|o
television|télévision, téléviseur|o
wrap|emballer, envelopper|v
firm|entreprise, société; ferme, solide; ferme, résolu|o;o;o
nightmare|cauchemar; cauchemar, épreuve|o;o
movement|mouvement, déplacement; mouvement (militant)|o;o
neighborhood|quartier, voisinage|o
union|union, réunion; syndicat|o;o
panic|panique; paniquer|o;v
monday|lundi|o
replace|remettre en place; remplacer|v;v
tax|impôt, taxe|o
affect|toucher, avoir un effet sur|v
palace|palais|o
writer|écrivain, auteur|o
apply|postuler, faire une demande; appliquer, mettre; s'appliquer, valoir|v;v;v
badly|mal; beaucoup, terriblement|o;o
pure|pur, sans mélange; pur, propre|o;o
mask|masque|o
assure|assurer, garantir à|v
boom|(bruit sourd et fort); boom, essor|g;o
document|document|o
attend|assister à, être présent à; s'occuper de, soigner|v;v
golden|en or, doré; doré, couleur d'or|o;o
mercy|pitié, clémence|o
reward|récompense; récompenser|o;v
gain|gagner, obtenir; gain, augmentation|v;o
rope|corde|o
soup|soupe, potage|o
realise|realise, orthographe britannique de realize|o
photograph|photo; photographier|o;v
drove|conduit, forme passée de drive|o
explosion|explosion|o
vision|vue; vision, image mentale; vision, clairvoyance|o;o;o
wise|sage, avisé|o
yellow|jaune|o
sexual|sexuel|v
wherever|où que, partout où|o
row|rangée, rang; dispute, engueulade; ramer|o;o;v
experiment|expérience, essai|o
comrade|camarade|o
hm|hm (réflexion ou doute)|g
regard|considérer, tenir pour; estime, respect; (regards) salutations, amitiés|v;o;o
bond|lien, attachement; obligation, titre; caution|o;o;o
chat|bavarder, discuter|v
council|conseil municipal|o
doll|poupée|o
duck|canard; se baisser vivement|o;v
metal|métal|o
fruit|fruit|o
interrupt|interrompre, couper la parole à|v
zero|0, zéro|o
scratch|griffer, gratter; égratignure, rayure|v;o
servant|domestique, serviteur|o
determine|décider, déterminer; établir, déterminer|v;v
prime|principal, premier; fleur de l'âge, apogée|o;o
courage|courage|o
surface|surface|o
grandmother|grand-mère|o
beating|coups, raclée; défaite|o;o
physical|physique, du corps; matériel, concret|o;o
recover|se rétablir, guérir; récupérer, retrouver|v;v
hunter|chasseur|o
piano|piano|o
route|itinéraire, route|o
device|appareil, dispositif; stratagème, procédé|o;o
below|en dessous de, sous|o
secure|sûr, bien fixé; obtenir, s'assurer|o;v
chuck|balancer, jeter (familier); plaquer, laisser tomber|v;v
mass|masse, tas; messe; masse (d'un corps)|o;o;o
pot|casserole, marmite; herbe, cannabis (familier)|o;o
midnight|minuit|o
snap|casser net, se briser; parler sèchement; photo, cliché|v;v;o
aside|de côté, à l'écart|v
pie|tarte, tourte|o
governor|gouverneur, directeur (de prison)|o
scoff|se moquer, railler; bouffer, engloutir|v;v
stink|puer, empester|v
wide|large|o
violence|violence|o
dust|poussière|o
operate|faire fonctionner, manoeuvrer; opérer|v;v
modern|moderne, actuel|o
friendship|amitié|o
candy|bonbons (américain)|o
pride|fierté; orgueil|o;o
heh|hé (petit rire)|g
toast|pain grillé, toast; toast (avant de boire)|o;o
flow|couler, s'écouler|v
insult|insulter; insulte|v;o
suffering|souffrance|o
section|section, partie|o
sandwich|sandwich|o
stress|stress, tension; pression, contrainte; insister sur, souligner|o;o;v
spin|tourner, tournoyer|v
ability|capacité, aptitude|o
available|disponible|o
prayer|prière|o
central|central, au milieu; central, essentiel|o;o
taxi|taxi|o
bride|mariée|o
dozen|douzaine|o
protection|protection|o
stock|stock, marchandises; action, titre; bouillon|o;o;o
technology|technologie|o
incident|incident|o
guide|guide; guider, conduire|o;v
border|frontière; bord, bordure|o;o
lion|lion|o
theme|thème, sujet|o
illegal|illégal|o
cast|distribution, acteurs; jeter, lancer; mouler, couler|o;v;v
generation|génération|o
winning|gagnant, victorieux|o
bleeding|qui saigne, saignement|o
solution|solution, réponse; solution (liquide)|o;o
starve|mourir de faim, être affamé|v
compare|comparer|v
troop|troupe (de soldats); (troops) les troupes|o;o
billion|1 000 000 000|o
assault|agression, attaque; agresser, attaquer|o;v
grateful|reconnaissant|o
kidnap|enlever, kidnapper|v
extremely|extrêmement|v
blast|explosion, déflagration; souffle, rafale; faire sauter|o;o;v
express|exprimer; express, rapide|v;o
capable|capable de; compétent, doué|o;o
progress|progression, avancée; progrès, amélioration|o;o
zone|zone, secteur|o
literally|littéralement, au sens propre|o
junior|plus jeune, subalterne|o
deeply|profondément, en profondeur; profondément, vivement|o;o
bull|taureau|o
campaign|campagne|o
jew|juif|o
saint|saint|o
sweat|sueur, transpiration; transpirer, suer|o;v
unbelievable|invraisemblable, incroyable; incroyable, épatant|o;o
warrant|mandat (de perquisition, d'arrêt)|o
circumstance|circonstance|o
curious|curieux, qui veut savoir; curieux, étrange|o;o
culture|culture|o
screen|écran; projeter, diffuser; dépister|o;v;v
flash|éclair, flash; briller un instant, clignoter|o;v
subtitle|sous-titre|o
prize|prix, récompense|o
juice|jus|o
ahh|ahh (soulagement ou compréhension)|g
sample|échantillon|o
former|ancien, d'autrefois; le premier (des deux)|o;o
loan|prêt, emprunt; prêter|o;v
dramatic|spectaculaire, saisissant; dramatique, théâtral|o;o
crown|couronne; couronner|o;v
apology|excuses|o
riding|à cheval, en voiture|o
motherfucker|(vulgaire) enfoiré, fils de pute|o
cab|taxi (familier); cabine (de camion)|o;o
decent|correct, convenable; honnête, brave|o;o
roman|romain, de la Rome antique|o
senior|plus âgé, de rang supérieur|o
possibility|possibilité, éventualité|o
monsieur|Monsieur (formule française pour un homme)|o
desperate|désespéré, prêt à tout; urgent, pressant|o;o
channel|chaîne (de télévision); chenal, canal; voie, moyen|o;o;o
pen|stylo; enclos|o;o
bat|batte; chauve-souris|o;o
screech|(crissement strident)|g
properly|correctement, comme il faut|o
mostly|surtout, la plupart du temps|o
product|produit; résultat, fruit|o;o
smash|fracasser, briser en morceaux|v
directly|directement, sans intermédiaire; tout de suite, immédiatement|o;o
measure|mesurer; mesure, disposition|v;o
false|faux, inexact; faux, artificiel|o;o
coast|côte, littoral|o
silent|silencieux, sans bruit; muet, qui se tait|o;o
thou|(vieilli) tu, toi|f2s2p
twenty|20|o
range|éventail, fourchette; chaîne (de montagnes); stand de tir|o;o;o
vampire|vampire|o
colleague|collègue|o
intelligence|intelligence; renseignements|o;o
warrior|guerrier|o
respond|répondre; réagir|v;v
article|article (de journal); article, objet|o;o
spoil|gâcher, abîmer; gâter (un enfant)|v;v
popular|populaire, apprécié|o
exhale|expirer|v
agency|agence; agence, organisme public|o;o
announcer|présentateur, speaker|o
tiger|tigre|o
episode|épisode; épisode, incident|o;o
belt|ceinture|o
champagne|champagne|o
rare|rare; saignant|o;o
someday|un jour, un de ces jours|o
chop|couper, hacher; côtelette|v;o
presence|présence; prestance, allure|o;o
sharp|tranchant, aiguisé; vif, perspicace; brusque, soudain|o;o;o
internet|Internet|o
occur|se produire, arriver; (occur to) venir à l'esprit|v;v
elevator|ascenseur|o
skip|sautiller, gambader; sauter, passer|v;v
therefore|donc, par conséquent|o
sand|sable|o
twist|tordre, entortiller; rebondissement, coup de théâtre|v;o
activity|activité, occupation; activité, animation|o;o
benefit|avantage, bénéfice; allocation, prestation|o;o
satisfy|satisfaire à, suffire à; satisfaire, contenter|v;v
kingdom|royaume|o
fashion|mode; façon, manière|o;o
annoy|agacer, énerver|v
quality|qualité, valeur; qualité, trait|o;o
frame|cadre; charpente, ossature; monter un coup contre, faire accuser|o;o;v
propose|proposer, suggérer; demander en mariage|v;v
april|avril|o
string|ficelle, cordon; corde (d'un instrument)|o;o
launch|lancer, mettre à l'eau; lancer, démarrer|v;v
precious|précieux, de valeur; précieux, cher|o;o
youth|jeunesse; jeune homme|o;o
negative|négatif, qui dit non; négatif, pessimiste; négatif (résultat)|o;o;o
destiny|destin, destinée|o
tool|outil|o
rice|riz|o
aim|viser; viser, chercher à; but, objectif|v;v;o
standard|norme, niveau exigé; standard, ordinaire|o;o
tap|tapoter, taper doucement; robinet; mettre sur écoute|v;o;v
exact|exact, précis|o
bow|s'incliner, saluer; arc; noeud|v;o;o
passion|passion|o
terrorist|terroriste|o
tunnel|tunnel|o
stab|poignarder|v
ambulance|ambulance|o
ordinary|ordinaire, banal|o
successful|réussi, couronné de succès|o
eve|veille (d'une fête)|o
giggle|glousser, rire bêtement|v
task|tâche|o
county|comté, département|o
cookie|biscuit (américain)|o
id|pièce d'identité|o
fourth|4e|o
roar|(rugissement, grondement)|g
cleaning|nettoyage|o
emperor|empereur|o
lf|(coquille pour if) si|o
employee|employé, salarié|o
manner|manière, façon; comportement, attitude|o;o
retire|prendre sa retraite|v
merry|joyeux, gai|o
squad|équipe, brigade|o
contain|contenir, renfermer; contenir, maîtriser|v;v
coward|lâche, poltron|o
attitude|attitude, état d'esprit|o
stair|marche|o
comfort|confort, bien-être; consoler, réconforter|o;v
failure|échec; raté, chose qui échoue|o;o
series|série, suite; série (télévisée)|o;o
forbid|interdire, défendre|v
current|actuel, en cours; courant (d'eau, électrique)|o;o
garage|garage; garage, atelier de réparation|o;o
anger|colère|o
darkness|obscurité, ténèbres|o
thy|(vieilli) ton, ta|o
friendly|gentil, amical|o
estate|domaine, propriété; succession, biens|o;o
robbery|vol, braquage|o
spit|cracher|v
cave|grotte, caverne|o
cock|(vulgaire) bite; coq|o;o
alert|vigilant, en éveil; alerte, alarme|o;o
valley|vallée|o
nasty|désagréable, méchant; méchant, malveillant|o;o
salt|sel|o
expose|découvrir, mettre à nu; dévoiler, révéler|v;v
flag|drapeau|o
policy|politique, ligne de conduite; police d'assurance|o;o
slap|gifler, donner une claque à|v
maid|bonne, femme de chambre|o
pa|papa (familier)|o
thunder|tonnerre|o
relate|raconter, relater; (relate to) concerner, comprendre|v;v
emotion|émotion, sentiment|o
exercise|exercice (physique); exercice, entraînement; exercer (un pouvoir)|o;o;v
gamble|jouer, parier; pari, risque|v;o
stake|mise, enjeu; pieu, piquet; (at stake) en jeu|o;o;o
robot|robot|o
potato|pomme de terre|o
relative|parent, membre de la famille; relatif, par rapport à|o;o
pee|(familier) faire pipi|v
register|registre, liste; inscrire, enregistrer|o;v
empire|empire|o
unusual|inhabituel, rare|o
trigger|détente, gâchette; déclencher, provoquer|o;v
'mon|(dans c'mon) allez, viens|o
equipment|matériel, équipement|o
sneak|se faufiler, avancer à pas de loup|v
pattern|motif, dessin; schéma, tendance; patron, modèle|o;o;o
conference|conférence, congrès|o
rude|impoli, grossier; grossier, indécent|o;o
amen|amen (à la fin d'une prière)|o
senator|sénateur|o
closing|fermeture; dernier, final|o;o
mustn|(dans mustn't) ne doit pas|o
tattoo|tatouage|o
learning|apprentissage; savoir, connaissances|o;o
virgin|vierge, puceau; vierge, intact|o;o
explode|exploser|v
pipe|tuyau, conduite; pipe|o;o
twin|jumeau|o
root|racine; source, origine|o;o
costume|costume, déguisement|o
robin|rouge-gorge|o
visitor|visiteur, invité|o
highness|(Your Highness) Votre Altesse|o
strip|bande, bandelette; déshabiller, dépouiller|o;v
tune|air, mélodie; accorder (un instrument)|o;v
identity|identité|o
sometime|un jour, à un moment|o
title|titre (d'un livre, d'un film); titre (avant un nom)|o;o
setting|cadre, décor; réglage, position|o;o
lend|prêter|v
comment|remarque, commentaire; commenter, faire une remarque|o;v
balance|équilibre; solde, reste; équilibrer, tenir en équilibre|o;o;v
delivery|livraison; élocution, débit; accouchement|o;o;o
theater|théâtre (salle); théâtre (art)|o;o
succeed|réussir, y arriver; succéder à|v;v
library|bibliothèque|o
similar|semblable, similaire|o
injury|blessure|o
understanding|compréhension, connaissance; entente, accord; compréhensif|o;o;o
aid|aide, secours; aider|o;v
equal|égal|o
fully|entièrement, pleinement|o
influence|influence; influencer|o;v
pump|pompe; pomper|o;v
gorgeous|magnifique, splendide|o
rabbit|lapin|o
stretch|étirer, allonger; étendue, période|v;o
international|international|o
politic|la politique|o
legend|légende; légende, figure célèbre|o;o
package|colis, paquet; forfait, ensemble|o;o
surrender|se rendre, capituler; remettre, livrer|v;v
drawing|dessin|o
trail|trace, piste; sentier; suivre, pister|o;o;v
disaster|catastrophe, désastre; fiasco, échec total|o;o
explanation|explication|o
flame|flamme|o
agreement|accord, entente; accord, même avis|o;o
bound|sûr de, qui ne peut manquer de; attaché, lié; en route pour|o;o;o
exam|examen|o
glory|gloire; splendeur, éclat|o;o
background|arrière-plan, fond; origines, parcours|o;o
reputation|réputation|o
fund|fonds, caisse; financer|o;v
despite|malgré|o
alcohol|alcool|o
argument|dispute, discussion; argument|o;o
abuse|maltraitance, mauvais traitements; maltraiter, abuser de; injures|o;v;o
jam|confiture; embouteillage, bouchon; enfoncer, coincer|o;o;v
knight|chevalier; anobli, fait chevalier|o;o
exit|sortie; sortir|o;v
mummy|maman (britannique, mot d'enfant); momie|o;o
singer|chanteur|o
prevent|empêcher, éviter|v
trash|ordures, poubelle (américain); saccager, démolir|o;v
joint|articulation, jointure; commun, partagé; joint (cigarette)|o;o;o
opposite|en face de, opposé; contraire, inverse|o;o
announce|annoncer|v
surround|entourer, encercler|v
pet|animal de compagnie; chouchou, préféré|o;o
intention|intention|o
ton|tonne; (tons) des tonnes, énormément|o;o
award|prix, récompense; décerner, attribuer|o;v
leak|fuir, laisser échapper; fuite|v;o
volunteer|bénévole, volontaire; se porter volontaire, proposer|o;v
teaching|enseignement; enseignement, doctrine|o;o
previously|auparavant, précédemment|o
ash|cendre|o
network|réseau|o
gear|matériel, équipement; vitesse (d'un véhicule)|o;o
district|quartier, district|o
industry|industrie; assiduité, application|o;o
pin|épingle; épingler, fixer|o;v
bay|baie|o
coincidence|coïncidence|o
percent|pour cent|o
normally|normalement, d'habitude; normalement, de façon normale|o;o
tone|ton, timbre; ton, nuance|o;o
chill|froid, fraîcheur; refroidir, mettre au frais; se détendre, chiller|o;v;v
education|éducation, enseignement|o
bravo|bravo (approbation)|g
mouse|souris; souris (d'ordinateur)|o;o
confidence|confiance en soi, assurance; confiance; confidence|o;o;o
dealer|marchand, revendeur|o
individual|individu, particulier; individuel, distinct|o;o
brand|marque; marque au fer rouge|o;o
shark|requin|o
habit|habitude|o
sheet|drap, feuille|o
production|production, fabrication; mise en scène, production|o;o
guitar|guitare|o
rumor|rumeur, bruit|o
pink|rose|o
revolution|révolution; tour, révolution|o;o
solid|solide, dur; plein, massif|o;o
beloved|bien-aimé, chéri|o
item|article, élément|o
drown|se noyer, noyer|v
invent|inventer; inventer, imaginer de toutes pièces|v;v
actual|réel, véritable|o
recall|se rappeler, se souvenir de; rappeler, faire revenir|v;v
muscle|muscle|o
mental|mental, de l'esprit|o
orange|orange (fruit); orange (couleur)|o;o
chamber|chambre, salle; cavité, compartiment|o;o
flesh|chair|o
highly|très, extrêmement|o
bud|bourgeon, bouton; mon vieux, pote (familier)|o;o
hostage|otage|o
federal|fédéral|o
bail|caution|o
float|flotter|v
emotional|émouvant, chargé d'émotion; émotif, sensible|o;o
impression|impression, effet; impression, idée|o;o
champion|champion; défenseur, champion d'une cause|o;o
nothin|rien (orthographe familière de nothing)|o
cap|casquette; bouchon, capuchon|o;o
fighter|combattant, battant; avion de chasse|o;o
concentrate|se concentrer; concentrer, rendre plus fort|v;v
reaction|réaction|o
colour|colour, orthographe britannique de color|o
favour|favour, orthographe britannique de favor|o
bump|cogner, heurter; bosse|v;o
entirely|entièrement, totalement|o
election|élection|o
extraordinary|extraordinaire, remarquable|o
noble|noble, de haute naissance; noble, généreux|o;o
tribe|tribu|o
traitor|traître|o
committee|comité, commission|o
thin|mince, fin; maigre|o;o
ally|allié|o
duke|duc|o
tale|conte, récit|o
fellas|les gars, les copains (familier)|o
host|hôte, celui qui reçoit; animateur, présentateur|o;o
cutting|coupure, découpage; blessant, cinglant|o;o
garbage|ordures, poubelle (américain)|o
coin|pièce de monnaie|o
breast|sein|o
delay|retarder, différer; retard, attente|v;o
greeting|salutation, salut|o
museum|musée|o
gee|ça alors (surprise légère)|g
butter|beurre|o
custody|garde à vue, détention; garde (d'un enfant)|o;o
closet|placard, penderie (américain)|o
glove|gant|o
naturally|naturellement, bien sûr; naturellement, de façon naturelle|o;o
farmer|agriculteur, fermier|o
useful|utile|o
capital|capitale; majuscule; capital, fonds|o;o;o
repair|réparer|v
temperature|température; fièvre|o;o
swallow|avaler; hirondelle|v;o
violent|violent, brutal; violent, très fort|o;o
plain|simple, sans ornement; clair, évident; plaine|o;o;o
childhood|enfance|o
behavior|comportement, conduite|o
inch|pouce (2,5 cm)|o
concert|concert|o
policeman|policier, agent de police|o
version|version, variante; version, récit|o;o
potential|potentiel, possible; potentiel, capacités|o;o
heal|guérir, cicatriser|v
terrify|terrifier, épouvanter|v
online|en ligne|o
heavily|lourdement, avec force; beaucoup, fortement|o;o
hum|fredonner; bourdonnement, ronronnement|v;o
shell|coquille, carapace; obus|o;o
terrific|formidable, super; énorme, terrible|o;o
crystal|cristal; cristal (forme régulière)|o;o
impressive|impressionnant|o
bee|abeille|o
pitch|terrain (de sport); hauteur (d'un son); lancer; vendre, présenter|o;o;v;v
pussy|(vulgaire) chatte; minou (mot d'enfant)|o;o
adventure|aventure|o
deck|pont (d'un navire); jeu de cartes|o;o
attract|attirer; attirer, séduire|v;v
skull|crâne|o
fuel|carburant, combustible|o
tuesday|mardi|o
no-one|personne, aucun|o
thursday|jeudi|o
achieve|réaliser, parvenir à|v
locate|localiser, repérer; situer, placer|v;v
ceremony|cérémonie|o
lung|poumon|o
bean|haricot, fève|o
collection|collection, ensemble; collecte, quête|o;o
league|championnat, ligue; alliance, ligue|o;o
resist|résister à, combattre; résister à, tenir bon contre|v;v
monk|moine|o
clown|clown; guignol, imbécile|o;o
drama|pièce de théâtre; drame, péripéties|o;o
cruel|cruel|o
flip|retourner d'un geste vif|v
graduate|obtenir son diplôme; diplômé|v;o
lane|ruelle, chemin; voie, file|o;o
drill|perceuse; exercice, entraînement; percer, forer|o;o;v
quietly|doucement, sans bruit; discrètement, sans faire d'histoires|o;o
inspire|inspirer, donner envie de|v
dirt|saleté, terre|o
punishment|punition, châtiment|o
basement|sous-sol|o
whip|fouet; fouetter|o;v
urgent|urgent|o
profit|bénéfice, profit|o
recommend|recommander, conseiller; recommander, préconiser|v;v
ranger|garde forestier|o
charity|charité, bienfaisance; association caritative|o;o
couch|canapé, divan|o
daily|quotidien, tous les jours|o
testify|témoigner, déposer|v
crawl|ramper, marcher à quatre pattes|v
hammer|marteau; marteler, cogner|o;v
specific|précis, particulier|o
unique|unique, seul de son espèce|o
wallet|portefeuille|o
cage|cage|o
classic|classique, de valeur durable; typique, classique|o;o
accent|accent (façon de parler); accent (sur une syllabe)|o;o
tradition|tradition|o
honk|(coup de klaxon)|g
script|scénario, texte|o
offering|offrande|o
sniff|renifler|v
associate|collègue, associé; associer, faire le lien|o;v
complaint|plainte, réclamation; affection, maladie|o;o
outfit|tenue, ensemble; équipe, boîte|o;o
gene|gène|o
transport|transporter; transports, réseau de transport|v;o
massive|massif, énorme|o
melt|fondre, faire fondre|v
pathetic|pitoyable, lamentable|o
fence|clôture, barrière|o
species|espèce|o
mighty|puissant, formidable; sacrément, drôlement (familier)|o;o
corpse|cadavre|o
conduct|mener, diriger; conduite, comportement|v;o
entrance|entrée; entrée, arrivée|o;o
function|fonction, rôle; fonctionner, marcher|o;v
review|bilan, examen; critique, compte rendu|o;o
fever|fièvre|o
communication|communication|o
method|méthode|o
firing|tir, coups de feu; licenciement, renvoi|o;o
self|le moi, sa propre personne|o
drum|tambour|o
religion|religion|o
swimming|natation, nage|o
erm|euh (hésitation, orthographe britannique)|g
navy|marine (de guerre)|o
admire|admirer|v
reckon|penser, estimer; calculer, compter|v;v
organize|organiser, ranger; organiser, monter|v;v
unknown|inconnu, ignoré; inconnu, peu célèbre|o;o
fella|type, gars (familier)|o
occasion|occasion, fois; événement, grande occasion|o;o
passenger|passager|o
exhaust|épuiser, éreinter; gaz d'échappement|v;o
producer|producteur|o
slide|glisser, coulisser|v
division|division, partage; division, désaccord; division (militaire)|o;o;o
refer|(refer to) parler de, faire allusion à; renvoyer, orienter vers|v;v
fox|renard|o
log|bûche, rondin; journal de bord, carnet|o;o
monitor|moniteur, écran; surveiller, contrôler|o;v
plastic|plastique|o
motive|mobile, motif|o
shy|timide|o
'you|(coquille pour you) tu, vous|f2s2p
bye-bye|au revoir (en se quittant, tendrement ou à un enfant)|g
element|élément, partie; élément (chimique)|o;o
whimper|gémir, geindre|v
dive|plonger; piquer, descendre en piqué|v;v
proceed|continuer, poursuivre|v
sail|naviguer, faire voile; voile|v;o
mobile|mobile, déplaçable; portable, téléphone mobile|o;o
sensitive|sensible, susceptible; délicat, sensible|o;o
hopefully|avec un peu de chance, espérons-le|o
appeal|supplier, lancer un appel; faire appel; attrait, charme|v;v;o
rolling|qui roule, roulant|o
slam|claquer, jeter violemment|v
greek|grec, de Grèce; le grec (la langue)|o;o
establish|établir, fonder; établir, prouver|v;v
dancer|danseur|o
thrill|frisson, sensation forte; faire frissonner, enthousiasmer|o;v
'i|(coquille pour I) je|f1s
cent|cent (centième de dollar)|o
wail|gémir, se lamenter|v
pit|fosse, trou; mine|o;o
approve|approuver, être d'accord avec; approuver, valider|v;v
suspicious|méfiant, soupçonneux; suspect, louche|o;o
baseball|baseball|o
maintain|entretenir, maintenir en état; maintenir, soutenir|v;v
elephant|éléphant|o
fantasy|fantasme, chimère|o
turtle|tortue de mer|o
steady|stable, ferme; régulier, constant|o;o
patrol|patrouiller; patrouille|v;o
virus|virus; virus informatique|o;o
crisis|crise|o
particularly|particulièrement, surtout|o
flee|fuir, s'enfuir|v
improve|améliorer, s'améliorer|v
shelter|abri, refuge|o
tend|avoir tendance à; s'occuper de, soigner|v;v
collapse|s'effondrer, s'écrouler; s'effondrer, échouer|v;v
ad|pub, annonce|o
passport|passeport|o
bush|buisson, arbuste; brousse|o;o
contest|concours, compétition; disputer, se battre pour; contester|o;v;v
fascinate|fasciner, passionner|v
basic|fondamental, de base|o
sec|seconde, instant (familier)|o
civil|civil, des citoyens; courtois, poli|o;o
june|juin|o
session|séance, session|o
golf|golf|o
ending|fin, dénouement|o
motion|mouvement, déplacement; motion, proposition|o;o
punk|punk (musique); voyou, petite frappe|o;o
imagination|imagination|o
lifetime|vie, durée d'une vie|o
miserable|malheureux, déprimé; misérable, minable|o;o
cliff|falaise|o
declare|déclarer, affirmer; déclarer (à la douane)|v;v
cabin|cabane, chalet; cabine|o;o
sock|chaussette|o
valuable|de valeur, précieux; précieux, très utile|o;o
arrangement|disposition, agencement; arrangement, entente|o;o
gross|dégoûtant, dégueu (familier); brut, avant déduction|o;o
depress|déprimer, abattre; enfoncer, appuyer sur|v;v
toe|orteil, doigt de pied|o
commissioner|commissaire|o
confession|aveu, confession|o
trunk|tronc; malle; trompe|o;o;o
stable|stable, sûr; écurie|o;o
terribly|terriblement, extrêmement; très mal, affreusement|o;o
bum|fesses, derrière (britannique); clochard (américain)|o;o
grass|herbe, gazon|o
battery|pile, batterie; coups et blessures|o;o
permit|permettre, autoriser; permis, autorisation|v;o
height|hauteur, taille; sommet, apogée|o;o
nuclear|nucléaire|o
praise|louer, faire l'éloge de; éloges, louanges|v;o
response|réponse; réaction|o;o
thick|épais; gros, épais; bête, lourdaud|o;o;o
kitty|minou (mot d'enfant); cagnotte|o;o
recording|enregistrement|o
delight|joie, plaisir; ravir, enchanter|o;v
deputy|adjoint, second; adjoint du shérif|o;o
procedure|procédure, marche à suivre|o
elder|aîné, plus âgé; ancien, aîné (personne respectée)|o;o
gym|gymnase, salle de sport|o
anytime|n'importe quand, quand tu veux|o
centre|centre, orthographe britannique de center|o
candle|bougie, chandelle|o
bible|la Bible|o
turkey|dinde|o
escort|escorter, accompagner; escorte, accompagnateur|v;o
fifth|5e|o
hail|grêle; héler, appeler|o;v
sauce|sauce|o
e-mail|courriel, e-mail|o
branch|branche; agence, succursale|o;o
therapy|thérapie, traitement|o
choke|s'étouffer, étrangler; étrangler, serrer la gorge de|v;v
port|port; bâbord; porto|o;o;o
mysterious|mystérieux|o
marine|marin, de la mer; fusilier marin, marine|o;o
aboard|à bord de|o
clinic|clinique, dispensaire|o
fairy|fée|o
signature|signature|o
afterwards|après, ensuite|o
blade|lame|o
fetch|aller chercher, rapporter|v
yup|yup, autre orthographe de yep|o
rocket|fusée|o
purse|porte-monnaie; sac à main (américain)|o;o
scale|échelle, ampleur; graduation, échelle; écaille|o;o;o
pile|pile, tas; empiler, entasser|o;v
organization|organisation, organisme; organisation, rangement|o;o
hop|sauter à cloche-pied; sautiller|v;v
vice|vice, mauvais penchant; vice-, adjoint|o;o
jungle|jungle|o
territory|territoire; territoire (d'un animal)|o;o
spill|renverser, répandre|v
routine|routine, train-train; habituel, courant|o;o
instruction|ordre, consigne; (instructions) mode d'emploi|o;o
mistress|maîtresse (d'un homme marié); maîtresse, patronne|o;o
nephew|neveu|o
scan|parcourir du regard; scanner, examiner|v;v
ding|(petit tintement)|g
poem|poème|o
pole|perche, poteau; pôle|o;o
gentle|doux, délicat|o
meter|compteur; mètre (américain)|o;o
personality|personnalité, caractère; personnalité, vedette|o;o
advise|conseiller|v
injure|blesser|v
selfish|égoïste|o
angle|angle; angle, point de vue|o;o
brush|brosse, pinceau; brosser, frôler|o;v
defendant|accusé, prévenu|o
toss|lancer, jeter; s'agiter, se retourner|v;v
throughout|dans tout, tout au long de|o
toward|toward, forme américaine de towards|o
towel|serviette, torchon|o
squeeze|presser, serrer|v
helicopter|hélicoptère|o
homework|devoirs|o
blessing|bénédiction; approbation, aval; bienfait, chance|o;o;o
practically|pratiquement, presque; concrètement, de façon pratique|o;o
steel|acier|o
financial|financier|v
ease|aisance, facilité; soulager, apaiser|o;v
distract|distraire, détourner l'attention de|v
footstep|pas, bruit de pas|o
sheep|mouton|o
goat|chèvre|o
heck|zut, mince (agacement léger)|g
principal|principal, essentiel; directeur (d'école)|o;o
chemical|produit chimique|o
painful|douloureux; pénible, difficile|o;o
wreck|détruire, démolir; épave, carcasse|v;o
moron|crétin, abruti|o
bubble|bulle|o
consequence|conséquence|o
headache|mal de tête; casse-tête, souci|o;o
facility|installation, établissement; facilité, aisance|o;o
uh-oh|oh-oh (quelque chose a mal tourné)|g
interfere|se mêler de, s'immiscer|v
actress|actrice, comédienne|o
