# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Spanish. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Spanish where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|tú, usted, ustedes (una o varias personas)|f2s2p
booth|caseta, cabina para una persona|o
underneath|debajo de|o
belly|panza, vientre|o
echo|eco|o
moral|moral, del bien y el mal; moraleja de un cuento|o;o
scout|explorador enviado a averiguar; buscar talentos|o;v
surgeon|cirujano|o
incredibly|increíblemente, sumamente; increíblemente, de un modo difícil de creer|o;o
favourite|favourite, favorite en grafía británica|o
complex|complejo, de muchas partes; complejo de edificios|o;o
anniversary|aniversario|o
pirate|pirata; pirata, quien copia obras ilegalmente|o;o
doorbell|timbre de la puerta|o
impact|impacto, choque de una cosa contra otra; impacto, efecto fuerte|o;o
ward|sala de un hospital; pupilo, menor bajo tutela|o;o
wednesday|miércoles|o
needle|aguja|o
timing|momento elegido para actuar|o
fee|honorarios, cuota por un servicio|o
objection|objeción|o
patience|paciencia|o
principle|principio, norma de conducta; principio, ley básica de cómo funciona algo|o;o
foolish|insensato, sin juicio|o
stroke|golpe; derrame cerebral; acariciar, pasar la mano suavemente|o;o;v
smooth|liso, parejo; sin contratiempos|o;o
somethin|algo (escritura informal)|o
judgment|fallo, sentencia de un tribunal; buen juicio, criterio|o;o
seed|semilla|o
compromise|acuerdo en que cada parte cede; poner en riesgo, comprometer|o;v
bake|hornear|v
boil|hervir|v
appearance|apariencia, aspecto; aparición, el hacerse visible|o;o
feature|rasgo de la cara; característica, parte notable de algo|o;o
foster|criar a un hijo ajeno; fomentar, ayudar a crecer|v;v
awkward|torpe, desgarbado; incómodo, que causa dificultad|o;o
structure|estructura, cómo se arman las partes; estructura, construcción|o;o
filthy|mugroso, muy sucio; obsceno, indecente|o;o
backup|refuerzo, ayuda de reserva; copia de respaldo|o;o
brief|breve, corto; informar, dar los datos a alguien|o;v
squeal|(chillido largo y agudo)|g
someplace|en algún lugar (americano)|o
conscience|conciencia, el sentido del bien y el mal|o
rebel|rebelde, quien pelea contra el poder; rebelarse, alzarse|o;v
possession|posesión, el poseer; posesión, lo que se tiene|o;o
electric|eléctrico, que funciona con o lleva electricidad|o
pleasant|agradable, placentero|o
mar|estropear, afear|v
patch|parche que tapa un hoyo; parcela, área pequeña|o;o
relieve|aliviar el dolor o la preocupación; relevar, tomar el lugar de|v;v
forth|hacia afuera, hacia adelante; and so forth: etcétera|o;n
gray|gris|o
album|álbum de fotos; álbum de canciones|o;o
homicide|homicidio; homicidios, la unidad policial de esos delitos|o;o
organ|órgano del cuerpo; órgano, instrumento de teclado|o;o
fingerprint|huella digital|o
survivor|sobreviviente|o
whir|(zumbido continuo de una máquina girando)|g
encourage|animar, dar ánimo y confianza a|v
guilt|culpa, el haber obrado mal; culpa, el sentirse culpable|o;o
humiliate|humillar delante de otros|v
pro|profesional; argumento a favor|o;o
react|reaccionar|v
minor|menor, menos importante; menor de edad|o;o
burst|reventar, estallar|v
shore|orilla, costa|o
officially|oficialmente, de manera formal|o
superior|superior, mejor o de más rango; superior, el jefe de uno|o;o
offense|delito; ofensa, algo que molesta; la ofensiva, el equipo que ataca|o;o;o
clay|barro, arcilla|o
unhappy|infeliz, triste; descontento|o;o
dismiss|despachar, mandar retirarse; descartar, quitarse de la cabeza; despedir del trabajo|v;v;v
thud|(golpe sordo de algo que cae)|g
lap|regazo; vuelta a la pista|o;o
atmosphere|atmósfera, el aire alrededor de la Tierra; ambiente, la sensación de un lugar|o;o
compliment|cumplido, halago|o
slight|leve, de poca cantidad; desairar, ofender ignorando|o;v
behalf|(on behalf of) en nombre de, de parte de|o
reasonable|razonable, justo y sensato; razonable, no excesivo|o;o
beard|barba|o
statue|estatua|o
beside|al lado de, junto a|o
commission|encargo oficial; comisión por vender; comisión, grupo formado para informar|o;o;o
earl|conde británico (abajo de marqués)|o
hood|capucha; cofre del coche (americano)|o;o
ouch|(al lastimarse) ay, eso duele|o
candidate|candidato|o
nearby|cerca, a poca distancia|o
mount|montarse en, subirse a; montar, instalar; monte (en un nombre)|v;v;o
extreme|extremo, lo más lejos posible; extremo, enorme|o;o
motor|motor|o
offend|ofender, herir los sentimientos de; infringir una norma|v;v
net|red de hilos con agujeros; neto, lo que queda tras los descuentos|o;o
native|nativo, nacido en un lugar; natural, propio de alguien|o;o
cable|cable grueso; cablegrama, mensaje enviado por cable|o;o
prick|(vulgar) idiota, imbécil; pene; picar, hacer un hoyito en|o;o;v
vanish|desvanecerse, desaparecer de golpe|v
con|estafar, timar; convicto, preso (informal)|v;o
unlike|a diferencia de; impropio de|o;o
relation|relación entre cosas; pariente|o;o
convict|condenar, declarar culpable; convicto, reo|v;o
content|el contenido; contento, satisfecho con lo que se tiene|o;o
rub|frotar, restregar|v
kit|juego de herramientas o piezas|o
steak|bistec, filete|o
thus|así, de este modo; por lo tanto|o;o
await|aguardar, esperar|v
divide|dividir en partes; repartir|v;v
swell|hincharse, crecer; oleaje, subida y bajada lenta del mar|v;o
instinct|instinto|o
cowboy|vaquero|o
loyal|leal, fiel|o
blanket|cobija, manta|o
tit|(vulgar) chichi, seno de mujer; paro, pajarito cantor|o;o
fade|desteñirse, perder fuerza; irse apagando|v;v
ex|ex, antiguo esposo o pareja|o
reduce|reducir, disminuir|v
shave|rasurar, afeitar|v
downtown|en el centro de la ciudad (americano)|o
pope|el Papa|o
rotten|podrido, echado a perder; pésimo (informal)|o;o
paradise|paraíso, lugar de felicidad; el paraíso, el cielo|o;o
eliminate|eliminar, deshacerse de; eliminar de una competencia|v;v
meantime|(in the meantime) mientras tanto|o
powder|polvo|o
tent|tienda de campaña, casa de campaña|o
development|desarrollo, crecimiento; novedad, nuevo suceso; urbanización de un terreno|o;o;o
chant|corear, repetir cantando|v
testing|probando, poniendo a prueba|o
shove|empujar con brusquedad|v
widow|viuda|o
reserve|reservar, guardar para después; reservar, apartar un lugar; reserva, lo que se tiene guardado|v;v;o
tragedy|tragedia, suceso muy triste; tragedia, obra seria de final infeliz|o;o
banana|plátano, banana|o
heel|talón|o
slightly|un poco, levemente|o
laundry|la ropa sucia; lavandería|o;o
pan|sartén, cacerola; hacer una panorámica con la cámara|o;v
lousy|pésimo, malísimo (informal)|o
existence|la existencia|o
counsel|consejo; abogado de un caso|o;o
fifty|50|o
chew|masticar|v
strategy|estrategia|o
spider|araña|o
theatre|theatre, theater en grafía británica|o
assignment|tarea, encargo|o
chairman|presidente de una junta o empresa|o
circus|circo|o
eagle|águila|o
confident|seguro de sí mismo o del resultado|o
yay|(grito de alegría) ¡bien!|g
auntie|tía (informal)|o
expense|gasto, costo; gastos, dinero gastado|o;o
st|St., abreviatura de Saint o de Street|o
uncomfortable|incómodo; incómodo, inquieto|o;o
rank|rango, posición en una escala; fila de personas|o;o
zombie|zombi|o
na|(en gonna, wanna) parte de una forma abreviada|o
recognise|recognise, recognize en grafía británica|o
population|población, toda la gente de un lugar|o
deed|acto, obra; escritura de propiedad|o;o
precisely|precisamente, exactamente; (como respuesta) así es|o;o
merely|solamente, nada más|o
underwear|ropa interior|o
romance|romance, relación amorosa; novela romántica|o;o
pearl|perla|o
privilege|privilegio|o
publish|publicar|v
farewell|(al despedirse) adiós|o
raid|redada, ataque repentino; hacer una redada|o;v
weed|maleza, hierba no deseada; mota, marihuana (informal)|o;o
chirp|(pío corto y agudo de un pájaro)|g
satellite|satélite artificial; satélite, luna de un planeta|o;o
deposit|depósito, primer pago; depositar, poner o meter al banco|o;v
intelligent|inteligente|o
comin|viniendo (escritura informal)|o
liberty|libertad, no estar bajo control|o
protest|protestar, decir con fuerza que algo está mal; protesta pública|v;o
plot|complot, plan secreto; trama de un libro o película; terreno, parcela|o;o;o
relief|alivio del dolor o la preocupación; auxilio, ayuda a los necesitados|o;o
footage|metraje, imágenes filmadas de un suceso|o
mud|lodo, barro|o
engagement|compromiso de matrimonio; cita, compromiso para verse|o;o
lecture|conferencia, clase; regaño largo|o;o
palm|palma de la mano; palmera|o;o
beam|rayo de luz; viga; sonreír de oreja a oreja|o;o;v
bounce|rebotar|v
belief|creencia, lo que se tiene por cierto; confianza, fe|o;o
thirty|30|o
boo|(grito de desaprobación o para asustar) ¡buu!|g
alibi|coartada|o
hers|suyo, de ella|o
mm-hm|(sonido que significa sí)|g
blah|(palabrería vacía); aburrido, soso|g;o
arrow|flecha; flecha que señala la dirección|o;o
penis|pene|o
rely|(rely on) contar con, depender de|v
fulfill|cumplir una promesa; satisfacer una necesidad|v;v
sync|sincronía; sincronizar|o;v
missile|misil|o
dine|cenar|v
humanity|la humanidad, toda la gente; humanidad, bondad hacia los demás|o;o
reverse|ir en reversa, retroceder; lo contrario|v;o
instance|caso, ejemplo; for instance: por ejemplo|o;n
blackmail|chantaje; chantajear|o;v
loyalty|lealtad|o
encounter|encontrarse por casualidad con; toparse con, enfrentar|v;v
drain|drenar, dejar salir el líquido; drenaje, tubo por donde sale|v;o
rattle|(serie rápida de golpecitos secos)|g
highway|carretera entre ciudades|o
resource|recurso, algo útil de lo que se puede echar mano|o
noon|mediodía|o
diet|dieta, lo que uno come normalmente; dieta para bajar de peso|o;o
alley|callejón|o
previous|anterior, el de antes|o
moaning|gemidos, quejidos|o
tense|tenso, nervioso; tenso, estirado|o;o
lemon|limón amarillo|o
beneath|debajo de|o
dock|muelle, dársena; banquillo de los acusados|o;o
deaf|sordo|o
bucket|cubeta, balde|o
facing|de frente a, mirando hacia|o
grey|grey, gray en grafía británica|o
necklace|collar|o
conflict|conflicto, desacuerdo grave; conflicto, enfrentamiento armado|o;o
journalist|periodista|o
vessel|embarcación, buque; recipiente para líquidos; vaso sanguíneo|o;o;o
embrace|abrazar; abrazar, aceptar con gusto|v;v
twelve|12|o
corn|grano, cereal; maíz (americano)|o;o
quote|citar las palabras exactas de alguien; cotización, precio ofrecido por un trabajo|v;o
technically|técnicamente, apegándose a las reglas o a los hechos|o
polish|pulir, sacar brillo; cera, líquido para pulir|v;o
shatter|hacerse añicos, romperse en pedacitos|v
gettin|consiguiendo (escritura informal)|o
steam|vapor|o
cia|CIA, el servicio de inteligencia exterior de Estados Unidos|o
ii|II, el número dos en cifras romanas|o
puppy|cachorro, perrito|o
expression|expresión, forma de decir algo; expresión de la cara|o;o
accomplish|lograr, llevar a cabo|v
oxygen|oxígeno|o
locker|casillero con llave|o
jeez|(exclamación de sorpresa, forma suave de "Jesus")|g
custom|costumbre heredada; (customs) la aduana|o;o
discovery|descubrimiento|o
slice|rebanada, rodaja|o
scientific|científico, de la ciencia; científico, hecho con método|o;o
slut|(ofensivo) zorra, mujer de muchas parejas|o
chaos|caos, desorden total|o
pursue|perseguir; seguir con, continuar|v;v
soviet|soviético, de la antigua Unión Soviética|o
burden|carga pesada; carga, algo difícil de sobrellevar|o;o
stubborn|terco, necio|o
salary|sueldo mensual|o
august|agosto|o
oi|(grito para llamar la atención) ¡oye!|g
intense|intenso, muy fuerte|o
talkin|hablando (escritura informal)|o
bleed|sangrar|v
communicate|comunicar, transmitir noticias e ideas|v
liver|hígado|o
galaxy|galaxia|o
absolute|absoluto, total y sin límites|o
decade|década, diez años|o
instrument|instrumento de precisión; instrumento musical|o;o
pose|posar para una foto; plantear un problema; hacerse pasar por|v;v;v
civilian|civil, quien no es militar|o
ideal|el ideal, lo mejor que puede concebirse; ideal, perfecto para el fin|o;o
academy|academia, escuela de una materia; academia, sociedad de eruditos|o;o
compete|competir|v
badge|placa, gafete|o
unable|incapaz, que no puede|o
invest|invertir dinero para ganar más|v
neighbour|neighbour, neighbor en grafía británica|o
foundation|cimientos sobre los que se apoya un edificio; fundación, el establecer algo; fundación que da dinero|o;o;o
obsess|obsesionar, llenar la mente de alguien|v
creepy|escalofriante, que da mala espina|o
flood|inundación, gran corriente de agua sobre la tierra|o
nest|nido|o
coke|refresco de cola; coca, cocaína (informal)|o;o
conclusion|conclusión, el final; conclusión, opinión a la que se llega|o;o
meanwhile|mientras tanto; al mismo tiempo|o;o
blonde|rubio, de pelo claro; rubia|o;o
fort|fuerte, fortín|o
region|región|o
weakness|debilidad, el ser débil; defecto, falla; debilidad, gusto especial|o;o;o
whale|ballena|o
explosive|explosivo, que puede estallar; explosivo, la sustancia|o;o
drawer|cajón|o
reverend|(título para un clérigo) reverendo|g
jazz|jazz|o
opera|ópera|o
suitcase|maleta|o
worthy|digno de respeto o de lo que se nombra|o
display|exhibir, poner a la vista; exhibición, muestra de cosas|v;o
fart|(vulgar) echarse un pedo|v
labor|trabajo, sobre todo el físico; parto, labor de parto|o;o
furniture|muebles|o
warehouse|bodega, almacén|o
serving|porción servida en el plato|o
stamp|estampilla, timbre; pisotear, dar pisotones|o;v
withdraw|retirar, sacar; retirarse, replegarse|v;v
softly|bajito y con suavidad|o
vegetable|verdura, legumbre|o
snack|botana, comida ligera|o
bid|oferta, precio ofrecido; intento por conseguir algo|o;o
worm|gusano, lombriz|o
catholic|católico, de la Iglesia católica|o
dessert|postre|o
alpha|alfa, primera letra del alfabeto griego; alfa, el líder del grupo|o;o
soap|jabón|o
whoop|(grito fuerte de alegría)|g
electronic|electrónico|o
remote|remoto, lejano; a distancia, que se controla de lejos|o;o
retreat|retirarse del enemigo; retiro, lugar tranquilo donde apartarse|v;o
communist|comunista, que cree que todo debe ser del estado|o
waiter|mesero|o
destruction|destrucción|o
lightning|relámpago, rayo|o
core|núcleo, el centro de algo; corazón de la manzana|o;o
trauma|trauma, golpe que deja daño duradero; traumatismo, lesión grave|o;o
priority|prioridad|o
cheek|mejilla, cachete; descaro, insolencia|o;o
concept|concepto|o
proposal|propuesta, plan presentado; propuesta de matrimonio|o;o
investment|inversión|o
ye|(antiguo) vosotros|f2s2p
creak|(crujido seco de madera o de una bisagra)|g
politician|político|o
soil|tierra, suelo donde crecen las plantas|o
deadly|mortal, que puede matar; tremendo, enorme|o;o
crane|grúa; grulla|o;o
junk|chatarra, cosas sin valor|o
ancestor|antepasado|o
ambassador|embajador|o
horror|horror, gran miedo y asco; película de terror|o;o
southern|del sur, sureño|o
chap|tipo, hombre (británico)|o
mexican|mexicano, de México|o
july|julio|o
speaker|orador, quien habla; bocina, altavoz|o;o
typical|típico, con los rasgos usuales de su clase|o
soda|refresco; agua mineral, agua con gas|o;o
lamb|cordero; carne de cordero|o;o
medication|medicamento|o
discussion|discusión, el hablar de un tema|o
medal|medalla|o
latin|latino, de la antigua Roma y su lengua|o
rot|pudrirse, echarse a perder|v
divine|divino, de Dios; divino, maravilloso|o;o
guardian|protector, guardián; tutor legal de un menor|o;o
frog|rana|o
jewel|joya, piedra preciosa|o
entry|entrada, por donde se entra; entrada, el acto de entrar; entrada, dato anotado en una lista|o;o;o
pillow|almohada|o
serial|serial, historia contada por partes; en serie, que ocurre repetidamente|o;o
rubbish|basura (británico); tonterías|o;o
feather|pluma de ave|o
chapter|capítulo|o
wagon|carreta tirada por caballos; vagón de carga|o;o
sailor|marinero|o
helpful|servicial, que ayuda de verdad|o
bloke|tipo, hombre (británico)|o
worship|adorar, rendir culto a Dios; venerar, admirar muchísimo|v;v
clan|clan|o
dressing|aderezo para la ensalada; vendaje|o;o
supper|la cena, última comida del día|o
whiskey|whisky|o
addict|adicto|o
clatter|(estrépito de cosas duras que chocan)|g
comedy|comedia|o
fraud|fraude, estafa; farsante, quien finge ser lo que no es|o;o
description|descripción|o
bruise|moretón|o
weigh|pesar, ver cuánto pesa; pesar, tener cierto peso|v;v
balloon|globo|o
liquor|licor, bebida fuerte (americano)|o
throne|trono|o
grief|dolor, pena honda (sobre todo por una muerte)|o
thirsty|sediento, con sed|o
extend|extender, alargar; extender, tender la mano|v;v
prosecutor|fiscal|o
restore|restaurar, dejar como estaba; devolver, restituir|v;v
random|al azar, sin plan|o
bout|episodio de una enfermedad o actividad; combate de box|o;o
massage|masaje|o
testimony|testimonio, declaración en un juicio|o
active|activo, que hace cosas; activo, que participa|o;o
granny|abuelita (palabra de niño)|o
executive|ejecutivo, alto directivo; ejecutivo, con poder para llevar a cabo decisiones|o;o
korean|coreano, de Corea; el idioma coreano|o;o
bitter|amargo de sabor; amargado, lleno de rencor|o;o
musical|musical, de la música; musical, obra con canciones|o;o
safely|sin peligro, a salvo|o
oppose|oponerse a, actuar en contra de|v
invisible|invisible|o
lookin|mirando (escritura informal)|o
internal|interno, por dentro; interno, dentro de un país u organismo|o;o
pub|pub, taberna (británico)|o
peaceful|tranquilo, apacible; pacífico, sin pelea|o;o
rehearsal|ensayo de una obra o concierto|o
talented|talentoso|o
spike|púa, punta de metal; pico, subida repentina|o;o
explore|explorar, viajar para ver qué hay; explorar, examinar a fondo|v;v
upper|superior, de más arriba|o
suggestion|sugerencia, idea propuesta; indicio, ligero rastro|o;o
goddess|diosa|o
dedicate|dedicarse por entero a; dedicar en honor de alguien|v;v
baker|panadero|o
marshal|alguacil (americano); mariscal, el rango más alto en algunos ejércitos|o;o
puzzle|rompecabezas, acertijo; enigma, algo difícil de entender|o;o
'the|(errata de the) el, la|o
seize|agarrar de repente; apoderarse de, tomar por la fuerza|v;v
dope|droga (informal); tonto, menso|o;o
admiral|almirante|o
negotiate|negociar|v
accompany|acompañar; acompañar con música a un cantante|v;v
groom|novio (el día de la boda); cepillar y asear a un animal|o;v
resistance|resistencia, lucha contra algo; resistencia, negarse a ceder|o;o
eternal|eterno|o
comic|cómico, gracioso; historieta, revista de cómics|o;o
'and|(errata de and) y|o
temper|humor, genio (sobre todo el enojo)|o
crook|ratero, persona deshonesta; curva, gancho|o;o
european|europeo|o
fabulous|fabuloso, maravilloso; fabuloso, como de cuento|o;o
ln|(errata de in) en|o
motel|motel de carretera|o
vow|voto, promesa solemne; jurar, prometer solemnemente|o;v
plug|tapón que llena un hueco; enchufe, clavija|o;o
naughty|travieso, mal portado; picante, algo atrevido|o;o
mall|centro comercial|o
global|global, de todo el mundo|o
resident|residente, quien vive en un lugar; residente, que vive en un lugar|o;o
label|etiqueta que dice qué es algo|o
sorrow|pena, tristeza honda|o
constantly|constantemente, todo el tiempo|o
promote|ascender a un puesto más alto; fomentar, impulsar; promocionar, anunciar|v;v;v
nicely|de buena manera, con gusto; bastante bien|o;o
roommate|compañero de cuarto|o
entertain|entretener, divertir; recibir invitados|v;v
survival|supervivencia|o
tourist|turista|o
barrel|barril de madera; cañón de un arma|o;o
lamp|lámpara|o
ace|as (carta de un punto); as, experto (informal)|o;o
sucker|inocentón, fácil de engañar; ventosa|o;o
stall|puesto donde se vende; pararse de golpe, calarse; dar largas, demorar|o;v;v
assign|asignar, encargar|v
chin|barbilla, mentón|o
appropriate|apropiado para la ocasión; apropiarse de, tomar para sí|o;v
chime|(campanada, repique de una campana)|g
fist|puño|o
broad|ancho; general, sin detalle|o;o
wealth|riqueza|o
fond|(fond of) aficionado a; cariñoso|o;o
bunny|conejito (palabra de niño)|o
muslim|musulmán; musulmán, de esa religión|o;o
lean|inclinarse, recargarse en; magro, con poca grasa|v;o
bargain|ganga, algo barato; trato, acuerdo de condiciones|o;o
gimme|dame (informal)|o
editor|editor, quien prepara un texto o una película|o
porn|porno|o
fifteen|15|o
poet|poeta|o
parade|desfile|o
honeymoon|luna de miel|o
casino|casino|o
critical|criticón, que halla defectos; crítico, muy grave; crítico, en un punto decisivo|o;o;o
infect|contagiar, transmitir una enfermedad a|v
illness|enfermedad, el estar enfermo; una enfermedad|o;o
debate|debate formal sobre una cuestión; debatir|o;v
enormous|enorme|o
diary|diario (cuaderno)|o
cherry|cereza|o
cinema|cine (el edificio); el cine como arte|o;o
web|telaraña; la web, internet|o;o
doom|perdición, destino terrible del que no se escapa|o
happily|felizmente, con alegría; por suerte|o;o
blare|(sonido fuerte y áspero de un claxon o una radio)|g
peanut|cacahuate|o
ram|carnero; embestir, empujar con fuerza|o;v
counter|mostrador; contrarrestar, actuar en contra de|o;v
covering|capa, cubierta puesta encima|o
ditch|zanja, cuneta; deshacerse de, abandonar|o;v
cart|carreta tirada por un animal|o
teenager|adolescente|o
recruit|reclutar nuevos miembros; recluta, miembro nuevo|v;o
raw|crudo, sin cocinar; en bruto, en estado natural; en carne viva, irritado|o;o;o
purchase|comprar; compra, lo comprado|v;o
flush|ponerse rojo, sonrojarse; jalarle al excusado|v;v
management|administración de un negocio; la dirección, los que mandan|o;o
conquer|conquistar, vencer y dominar|v
catching|(de una enfermedad) contagioso|o
budget|presupuesto; económico, barato|o;o
phase|fase, etapa de un cambio|o
shrink|encoger, achicarse; encogerse de miedo|v;v
remarkable|notable, digno de atención|o
cooperate|cooperar, colaborar de buena gana|v
disguise|disfrazar, cambiar el aspecto; disfraz|v;o
sum|suma de dinero; suma, total al sumar|o;o
feeding|alimentando, dando de comer|o
fridge|refri, refrigerador|o
reply|responder, contestar; respuesta|v;o
designer|diseñador|o
awfully|muy (informal); malísimamente, muy mal|o;o
differently|de otra manera|o
magnificent|magnífico, grandioso|o
application|solicitud formal de empleo o de un lugar; aplicación, poner una cosa sobre otra|o;o
spray|rocío, líquido en gotitas; rociar|o;v
menu|menú de platillos; menú de opciones en pantalla|o;o
herr|Herr, trato alemán para un hombre|o
email|email, la grafía usual de e-mail|o
reception|recibimiento, acogida; recepción, fiesta para los invitados; recepción, donde llegan las visitas|o;o;o
ritual|ritual|o
barn|granero, establo|o
currently|actualmente|o
rumbling|(retumbo grave, como de trueno)|g
stream|arroyo; flujo constante|o;o
shooter|tirador, quien dispara|o
scheme|plan, sobre todo uno astuto o deshonesto|o
wicked|malvado; buenísimo (informal)|o;o
daisy|margarita, florecita blanca de centro amarillo|o
cannon|cañón (arma pesada con ruedas)|o
poetry|poesía|o
nap|siesta|o
multiple|múltiples, de más de un tipo|o
shortly|pronto, en breve; en pocas palabras|o;o
kidney|riñón|o
anxious|preocupado, angustiado; ansioso, con ganas de que pase algo|o;o
september|septiembre|o
basketball|basquetbol|o
flatter|adular, halagar más de lo merecido; favorecer, hacer ver mejor|v;v
aii|(errata de all) todo|o
orphan|huérfano|o
ultimate|máximo, el más grande; último, final|o;o
musician|músico|o
tissue|pañuelo de papel; tejido del cuerpo|o;o
sausage|salchicha, chorizo|o
pork|carne de cerdo|o
narrow|angosto, estrecho|o
paperwork|papeleo, trámites de un trabajo|o
celebration|celebración, festejo|o
celebrity|celebridad, persona famosa; la fama|o;o
lazy|flojo, perezoso|o
bribe|soborno, mordida; sobornar|o;v
gig|tocada, concierto en vivo; chamba, trabajo (informal)|o;o
magical|mágico, hecho con magia; mágico, maravilloso|o;o
prostitute|prostituta|o
basket|canasta, cesta|o
madness|locura; locura, disparate|o;o
rap|rap, música con letra hablada y rimada; golpe seco y rápido|o;o
booze|trago, bebida alcohólica (informal)|o
racing|carreras (el deporte)|o
flirt|coquetear|v
clothe|vestir, dar ropa a|v
freezing|congelado, muy frío; congelándose, volviéndose hielo|o;o
suspend|colgar; suspender por un tiempo; suspender, expulsar temporalmente|v;v;v
pierce|perforar, atravesar|v
inhale|inhalar, respirar hacia adentro|v
wrist|muñeca (de la mano)|o
error|error|o
halfway|a la mitad del camino|o
niece|sobrina|o
strain|tensión, fuerza que estira; lastimarse por estirar; colar, filtrar|o;v;v
cruise|crucero, viaje en barco; ir a velocidad tranquila|o;v
pepper|pimienta; pimiento, chile|o;o
sober|sobrio, no borracho; sobrio, serio|o;o
carpet|alfombra|o
baron|barón, noble del rango más bajo|o
reference|mención de algo; referencia, nota que dice de dónde salieron los datos; referencia sobre un trabajador|o;o;o
thumb|pulgar|o
suspicion|sospecha|o
sew|coser|v
occupy|ocupar, vivir o trabajar en; ocupar el tiempo; ocupar por la fuerza|v;v;v
qualify|calificar, alcanzar el nivel exigido; matizar una afirmación|v;v
stain|mancha difícil de quitar; manchar|o;v
fleet|flota de barcos o vehículos|o
gossip|chismes, habladurías|o
resign|renunciar al trabajo|v
photographer|fotógrafo|o
indistinctly|de forma poco clara, sin que se entienda|o
valentine|tarjeta que se manda a quien se ama el 14 de febrero|o
tease|molestar de broma, hacer burla|v
promotion|ascenso a un puesto más alto; promoción, publicidad de productos|o;o
homeless|sin hogar, sin dónde vivir|o
pace|paso, ritmo al andar o al hacer algo; un paso|o;o
unfortunate|desafortunado, sin suerte; lamentable|o;v
howl|(aullido largo de un animal o del viento)|g
combat|combate entre fuerzas; combatir|o;v
humor|humor, lo gracioso; humor, estado de ánimo|o;o
skirt|falda; bordear, rodear la orilla de|o;v
detect|detectar, notar o descubrir|v
cellphone|celular|o
select|seleccionar, escoger lo mejor; selecto, escogido con cuidado|v;o
privacy|privacidad, no ser observado|o
wisdom|sabiduría, buen juicio ganado con la experiencia|o
coffin|ataúd|o
translate|traducir|v
ruby|rubí|o
rib|costilla|o
temporary|temporal, que dura poco|o
effective|eficaz, que da el resultado buscado|o
sonny|(al hablarle a un niño) hijo, mijo|o
analysis|análisis|o
grip|agarrar fuerte; agarre firme|v;o
butcher|carnicero|o
butterfly|mariposa|o
basis|base, fundamento de una idea|o
erase|borrar|v
lick|lamer|v
misunderstanding|malentendido; desacuerdo pequeño|o;o
combination|combinación de dos o más; combinación, números que abren una cerradura|o;o
inner|interior, de adentro; interior, del alma|o;o
rig|plataforma de perforación petrolera; amañar un resultado|o;v
vodka|vodka|o
necessarily|necesariamente; not necessarily: no en todos los casos|o;n
zoo|zoológico|o
terror|terror, miedo enorme; terrorismo, violencia con fines políticos|o;o
lame|cojo, que no camina bien; flojo, poco convincente (de una excusa)|o;o
kidnapping|secuestro|o
creative|creativo|o
various|varios, de distintos tipos|o
amuse|divertir, hacer reír; entretener, tener ocupado a gusto|v;v
grandson|nieto|o
blank|en blanco, sin nada escrito; inexpresivo, sin gesto|o;o
boob|(informal) chichi, seno de mujer; error tonto|o;o
humble|humilde, sin soberbia; humilde, de bajo rango|o;o
radar|radar|o
amber|ámbar, color naranja amarillento; ámbar, resina amarilla dura|o;o
vast|vasto, inmenso|o
alliance|alianza entre países o grupos|o
deceive|engañar, hacer creer algo falso|v
crossing|cruce, lugar por donde se cruza; travesía por agua|o;o
helmet|casco|o
expand|expandir, agrandar o crecer|v
avenue|avenida; vía, forma de abordar algo|o;o
preserve|conservar, proteger del daño o la descomposición|v
reservation|reservación de un asiento o cuarto; reserva, duda que uno se guarda; reserva, tierra apartada para pueblos originarios|o;o;o
sore|adolorido al tocarlo; molesto, enojado (americano)|o;o
asset|bien, algo de valor que se posee; cualidad útil|o;o
transform|transformar por completo|v
coordinate|coordinar, hacer que las partes funcionen juntas|v
ski|esquí|o
constant|constante, que no para; constante, que no cambia|o;o
gravity|gravedad, la fuerza que atrae hacia la Tierra; gravedad, seriedad|o;o
abroad|en el extranjero|o
rising|subiendo, en ascenso|o
symptom|síntoma|o
entertainment|entretenimiento, espectáculos y juegos|o
predict|predecir|v
pervert|pervertido; pervertir, torcer del buen uso|o;v
solar|solar, del Sol|o
dot|punto|o
activate|activar, poner en marcha|v
announcement|anuncio público|o
ranch|rancho ganadero|o
bandit|bandido, asaltante armado|o
goose|ganso|o
difficulty|dificultad, lo difícil de hacer; dificultades, apuros|o;o
wage|salario por hora o por semana|o
independent|independiente|o
fuss|escándalo, alboroto por nada|o
hut|choza, jacal|o
prom|baile formal de la escuela (americano)|o
collar|cuello de una camisa, collar de un perro|o
halt|detener, parar; alto, parada|v;o
wade|caminar por el agua|v
irish|irlandés, de Irlanda|o
nanny|niñera|o
october|octubre|o
scandal|escándalo, acto que sorprende a la gente; el chisme que se hace de eso|o;o
euro|euro|o
amongst|entre, en medio de|o
