# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Indonesian. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Indonesian where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|kamu, Anda (satu orang atau lebih)|f2s2p
menu|daftar menu makanan; menu, daftar pilihan di layar|o;o
herr|Herr, sapaan Jerman untuk pria|o
email|email, ejaan lazim dari e-mail|o
reception|sambutan, penerimaan; resepsi, pesta untuk tamu; meja resepsionis|o;o;o
ritual|ritual, rangkaian tindakan yang selalu sama|o
barn|lumbung, kandang besar|o
currently|saat ini, sekarang|o
rumbling|(bunyi bergemuruh seperti guntur)|g
stream|sungai kecil, anak sungai; aliran tetap, arus|o;o
shooter|penembak|o
scheme|siasat, rencana (terutama yang licik)|o
wicked|jahat, bejat; keren, hebat (informal)|o;o
daisy|bunga aster, bunga putih berhati kuning|o
cannon|meriam|o
poetry|puisi, karya bersajak|o
nap|tidur siang sebentar|o
multiple|banyak, bermacam-macam|o
shortly|sebentar lagi, segera; dengan singkat, dengan ringkas|o;o
kidney|ginjal|o
anxious|cemas, khawatir; tidak sabar, sangat ingin|o;o
september|September|o
basketball|bola basket|o
flatter|menyanjung berlebihan; membuat tampak lebih baik|v;v
aii|(salah cetak dari all) semua|o
orphan|anak yatim piatu|o
ultimate|puncak, yang terbesar; terakhir, penghabisan|o;o
musician|musisi, pemain musik|o
tissue|tisu; jaringan tubuh|o;o
sausage|sosis|o
pork|daging babi|o
narrow|sempit|o
paperwork|urusan surat-menyurat, berkas administrasi|o
celebration|perayaan|o
celebrity|selebritas, orang terkenal; ketenaran, kemasyhuran|o;o
lazy|malas|o
bribe|uang suap; menyuap|o;v
gig|pentas musik; pekerjaan lepas (informal)|o;o
magical|ajaib, dengan sihir; menakjubkan, memesona|o;o
prostitute|pelacur|o
basket|keranjang|o
madness|kegilaan; kenekatan, tindakan sangat bodoh|o;o
rap|musik rap; ketukan tajam dan cepat|o;o
booze|minuman keras (informal)|o
racing|balapan, olahraga adu cepat|o
flirt|menggoda, bersikap genit|v
clothe|memakaikan pakaian, menyediakan pakaian bagi|v
freezing|dingin sekali, membeku; membeku, menjadi es|o;o
suspend|menggantung; menghentikan sementara; menskors, melarang sementara|v;v;v
pierce|menembus, melubangi|v
inhale|menghirup napas|v
wrist|pergelangan tangan|o
error|kesalahan, keliru|o
halfway|di tengah jalan, sampai separuh|o
niece|keponakan perempuan|o
strain|tegangan, tarikan yang membebani; keseleo, cedera karena teregang; menyaring|o;v;v
cruise|pesiar dengan kapal; melaju santai|o;v
pepper|merica, lada; paprika, cabai besar|o;o
sober|tidak mabuk; serius, bersungguh-sungguh|o;o
carpet|karpet, permadani|o
baron|baron, bangsawan pangkat terendah|o
reference|penyebutan, singgungan; rujukan, catatan sumber; surat keterangan kerja|o;o;o
thumb|ibu jari|o
suspicion|kecurigaan, syak wasangka|o
sew|menjahit|v
occupy|menempati, menghuni; mengisi waktu; menduduki dengan paksa|v;v;v
qualify|memenuhi syarat, lolos; membatasi pernyataan|v;v
stain|noda yang sulit hilang; menodai|o;v
fleet|armada kapal atau kendaraan|o
gossip|gosip, obrolan tentang urusan orang lain|o
resign|mengundurkan diri, berhenti bekerja|v
photographer|juru foto, fotografer|o
indistinctly|tidak cukup jelas untuk ditangkap|o
valentine|kartu Valentine untuk kekasih pada 14 Februari|o
tease|menggoda, mengusili|v
promotion|kenaikan jabatan; promosi, pengiklanan barang|o;o
homeless|tunawisma, tidak punya tempat tinggal|o
pace|langkah, kecepatan berjalan atau bekerja; satu langkah|o;o
unfortunate|malang, sial; disayangkan|o;v
howl|(lolongan panjang hewan atau angin)|g
combat|pertempuran; memerangi, melawan|o;v
humor|humor, kelucuan; suasana hati|o;o
skirt|rok; melingkari, menyusuri tepinya|o;v
detect|mendeteksi, mengetahui adanya|v
cellphone|telepon genggam, ponsel|o
select|memilih yang terbaik; terpilih, pilihan|v;o
privacy|privasi, bebas dari pengawasan orang|o
wisdom|kearifan, kebijaksanaan dari pengalaman|o
coffin|peti mati|o
translate|menerjemahkan|v
ruby|batu delima, rubi|o
rib|tulang rusuk|o
temporary|sementara|o
effective|manjur, berhasil guna|o
sonny|(sapaan kepada anak laki-laki) nak|o
analysis|analisis, telaah bagian demi bagian|o
grip|mencengkeram erat; cengkeraman, pegangan kuat|v;o
butcher|tukang daging, jagal|o
butterfly|kupu-kupu|o
basis|dasar, landasan gagasan|o
erase|menghapus|v
lick|menjilat|v
misunderstanding|salah paham; percekcokan kecil|o;o
combination|gabungan, perpaduan; kombinasi angka pembuka kunci|o;o
inner|dalam, di bagian dalam; batin, tentang jiwa|o;o
rig|anjungan pengeboran minyak; mencurangi hasil|o;v
vodka|vodka|o
necessarily|dengan sendirinya, mau tak mau; not necessarily: belum tentu|o;n
zoo|kebun binatang|o
terror|teror, ketakutan hebat; teror, kekerasan demi tujuan politik|o;o
lame|pincang, sulit berjalan; lemah, tidak meyakinkan (tentang alasan)|o;o
kidnapping|penculikan|o
creative|kreatif, mampu menciptakan hal baru|o
various|bermacam-macam, beraneka|o
amuse|menggelikan, membuat tersenyum; menghibur, menyibukkan dengan senang|v;v
grandson|cucu laki-laki|o
blank|kosong, tanpa tulisan; kosong, tanpa ekspresi|o;o
boob|(informal) payudara; kesalahan konyol|o;o
humble|rendah hati, tidak sombong; rendah, sederhana kedudukannya|o;o
radar|radar|o
amber|kuning jingga; batu ambar, damar kuning keras|o;o
vast|sangat luas, amat besar|o
alliance|persekutuan, aliansi|o
deceive|menipu, memperdaya|v
crossing|penyeberangan, tempat menyeberang; pelayaran menyeberangi laut|o;o
helmet|helm|o
expand|memperbesar, mengembang|v
avenue|jalan lebar; jalan, cara mendekati sesuatu|o;o
preserve|melestarikan, menjaga dari kerusakan|v
reservation|pemesanan tempat atau kamar; keberatan yang disimpan, keraguan; tanah cadangan bagi suku asli|o;o;o
sore|perih, sakit bila disentuh; kesal, tersinggung (Amerika)|o;o
asset|aset, harta bernilai; nilai lebih, sifat yang berguna|o;o
transform|mengubah sama sekali|v
coordinate|mengoordinasikan, menyelaraskan bagian-bagian|v
ski|papan ski, bilah panjang di sepatu untuk meluncur di salju|o
constant|terus-menerus, tanpa henti; tetap, tidak berubah|o;o
gravity|gaya berat, gravitasi; kegawatan, keseriusan|o;o
abroad|di luar negeri, ke luar negeri|o
rising|naik, meninggi|o
symptom|gejala penyakit|o
entertainment|hiburan|o
predict|meramalkan, memperkirakan|v
pervert|orang cabul, penyimpang seksual; menyelewengkan, memutarbalikkan|o;v
solar|surya, tentang matahari|o
dot|titik|o
activate|mengaktifkan, menjalankan|v
announcement|pengumuman|o
ranch|peternakan sapi luas di Amerika|o
bandit|bandit, perampok bersenjata|o
goose|angsa|o
difficulty|kesulitan; kesulitan, masalah|o;o
wage|upah kerja per jam atau per minggu|o
independent|merdeka, mandiri|o
fuss|keributan, kerepotan yang tak perlu|o
hut|gubuk, pondok sederhana|o
prom|pesta dansa sekolah (Amerika)|o
collar|kerah baju, kalung anjing|o
halt|berhenti, menghentikan; perhentian, tempat berhenti|v;o
wade|mengarungi air, berjalan menembus air|v
irish|Irlandia, dari Irlandia|o
nanny|pengasuh anak|o
october|Oktober|o
scandal|skandal, perbuatan yang menghebohkan; gunjingan, pergunjingan|o;o
euro|euro, mata uang sebagian besar Eropa|o
amongst|di antara, di tengah-tengah|o
persuade|membujuk, meyakinkan|v
conspiracy|persekongkolan, komplotan jahat|o
update|memperbarui, memutakhirkan; kabar terbaru|v;o
envelope|amplop|o
sunshine|sinar matahari|o
undercover|menyamar, bekerja rahasia (terutama untuk polisi)|o
operator|operator, pengendali mesin atau penghubung telepon|o
contrary|berlawanan, bertentangan; on the contrary: justru sebaliknya|o;n
poker|poker, permainan kartu taruhan; besi pengorek api|o;o
arrival|kedatangan; pendatang, orang yang baru tiba|o;o
stun|membuat pingsan, memukul sampai limbung; mengejutkan, membuat tercengang|v;v
leap|melompat jauh|v
assist|membantu|v
depth|kedalaman|o
counselor|penasihat, konselor; pengacara (Amerika)|o;o
tragic|tragis, memilukan|o
uhh|(bunyi ragu yang panjang)|g
sis|kakak perempuan, adik perempuan (informal)|o
commitment|komitmen, janji yang mengikat; pengabdian, penyerahan diri sepenuhnya|o;o
tennis|tenis|o
traditional|tradisional, turun-temurun|o
delicate|rapuh, mudah rusak; peka, perlu ditangani hati-hati|o;o
weep|menangis, mencucurkan air mata|v
cycle|siklus, daur peristiwa; sepeda|o;o
cocktail|koktail, minuman campuran beralkohol|o
foul|kotor dan menjijikkan; pelanggaran dalam permainan|o;o
bait|umpan; memancing, memikat|o;v
sniffle|menyedot ingus, menghirup lewat hidung yang tersumbat|v
sting|menyengat; sengatan, rasa perih menusuk|v;o
tomato|tomat|o
murmur|bergumam, berbicara lirih|v
northern|utara, dari arah utara|o
nowadays|zaman sekarang, dewasa ini|o
drift|hanyut terbawa air atau angin; melantur, bergerak tanpa arah|v;v
ant|semut|o
gum|gusi; permen karet|o;o
companion|teman seperjalanan, kawan|o
ban|melarang secara resmi; larangan resmi|v;o
overwhelm|mengalahkan karena terlalu berat; menaklukkan sama sekali|v;v
gently|dengan lembut dan hati-hati|o
snore|mendengkur, mengorok|v
roast|memanggang di oven atau di atas api|v
define|mendefinisikan, menerangkan artinya dengan tepat|v
gunfire|(bunyi tembakan senjata)|g
stitch|jahitan, simpul benang; nyeri menusuk di lambung|o;o
certificate|surat keterangan resmi, sertifikat|o
backwards|ke belakang; terbalik, dalam urutan mundur|o;o
airplane|pesawat terbang bersayap tetap (Amerika)|o
hooker|pelacur (informal)|o
iike|(salah cetak dari like) seperti|o
bin|tempat sampah|o
protocol|protokol, tata cara acara resmi; protokol, aturan pertukaran data|o;o
petty|remeh, tidak penting; picik, cerewet soal hal kecil|o;o
crow|burung gagak|o
fucker|(vulgar) bajingan, orang keparat|o
spark|percikan api, bunga api; percikan listrik|o;o
leather|kulit, bahan dari kulit hewan|o
bacon|daging babi asap|o
dutch|Belanda, dari Belanda; bahasa Belanda|o;o
endure|menahan derita, bertahan; bertahan lama, awet|v;v
forgiveness|pengampunan, maaf|o
permanent|permanen, tetap selamanya|o
dammit|(vulgar) sialan, seruan kesal|o
darn|(seruan kesal yang ringan) sialan; menisik, menambal lubang kain|g;v
sub|pengganti, cadangan; kapal selam (informal)|o;o
alternative|pilihan lain, alternatif; alternatif, sebagai pengganti yang biasa|o;o
sunny|cerah, banyak sinar matahari; ceria, riang|o;o
african|Afrika, dari Afrika|o
packing|pengemasan, memasukkan ke peti; bahan pelindung kemasan|o;o
yen|yen, mata uang Jepang; kerinduan yang kuat|o;o
consult|meminta nasihat, berkonsultasi; membuka, mencari di buku|v;v
myth|mitos, cerita dewa dan pahlawan; mitos, anggapan keliru yang tersebar luas|o;o
suite|suite, rangkaian kamar; set perabot serasi|o;o
unfair|tidak adil, berat sebelah|o
polite|sopan, santun|o
mob|gerombolan orang yang rusuh; mafia, komplotan penjahat|o;o
nigger|(hinaan rasial yang sangat kasar untuk orang kulit hitam)|g
illusion|ilusi, anggapan keliru; ilusi, hal yang tampak lain dari kenyataannya|o;o
motorcycle|sepeda motor|o
wander|berkeliaran, mengembara tanpa tujuan|v
reflect|memantulkan cahaya atau bayangan; merenung, memikirkan baik-baik|v;v
pistol|pistol|o
smack|menampar; bunyi plak tamparan|v;o
draft|draf, versi kasar pertama; wajib militer, pemanggilan bertugas|o;o
ham|ham, daging paha babi yang diasin|o
poster|poster|o
resolve|menyelesaikan masalah; bertekad, memutuskan dengan bulat|v;v
pad|bantalan, alas empuk; blok kertas, notes|o;o
fold|melipat|v
absurd|absurd, tidak masuk akal sampai menggelikan|o
villain|orang jahat; tokoh antagonis dalam cerita|o;o
unlock|membuka kunci|v
rod|batang, tongkat lurus dari kayu atau logam|o
lesbian|lesbian, perempuan yang tertarik pada perempuan|o
economy|ekonomi, perdagangan suatu negara; penghematan, pemakaian yang cermat|o;o
acid|asam, zat berasa tajam yang mengikis logam; LSD (informal)|o;o
steer|mengemudikan, mengarahkan kendaraan atau perahu|v
squeak|(bunyi mencicit pendek)|g
insect|serangga|o
lighter|korek api, pemantik; lebih ringan|o;o
thanksgiving|Thanksgiving, hari syukur di Amerika pada bulan November|o
receipt|kuitansi, bukti pembayaran|o
overcome|mengatasi, menaklukkan; dikuasai perasaan, terharu|v;v
theft|pencurian|o
adore|memuja, sangat mencintai; sangat menyukai|v;v
frustrate|menggagalkan, membuat frustrasi|v
feast|pesta makan, jamuan besar|o
cabinet|lemari berambin; kabinet, para menteri utama|o;o
sire|(kuno) Baginda, sapaan untuk raja|o
tin|timah; kaleng makanan|o;o
cricket|kriket, permainan bola dan pemukul; jangkrik|o;o
closely|dari dekat; dengan saksama|o;o
length|panjang, ukuran panjangnya; potongan sepanjang ukuran tertentu|o;o
oath|sumpah, terutama di pengadilan; umpatan, kata kasar|o;o
perfume|parfum, minyak wangi|o
soccer|sepak bola|o
combine|menggabungkan menjadi satu|v
solo|solo, seorang diri; solo, bagian yang dimainkan satu orang|o;o
strangle|mencekik sampai mati|v
tension|ketegangan batin; ketegangan tali atau kawat|o;o
autopsy|autopsi, bedah mayat untuk mencari sebab kematian|o
rubber|karet; penghapus|o;o
rear|bagian belakang; membesarkan anak atau ternak|o;v
defence|defence, ejaan Inggris dari defense|o
november|November|o
discipline|disiplin, latihan menaati aturan; hukuman; disiplin, cabang ilmu|o;o;o
vault|ruang besi berkunci untuk barang berharga; melompati dengan tumpuan tangan|o;v
whine|merengek, mengeluarkan bunyi melengking panjang|v
penalty|hukuman atas pelanggaran; tendangan penalti dalam sepak bola|o;o
cattle|ternak sapi|o
unconscious|pingsan, tak sadarkan diri; bawah sadar, tidak disadari pikiran|o;o
fairly|cukup, lumayan; dengan adil|o;o
slaughter|penyembelihan hewan untuk daging; pembantaian banyak orang|o;o
radiation|radiasi, pancaran sinar (terutama yang berbahaya)|o
column|pilar, tiang tegak; kolom, jalur sempit di halaman|o;o
bench|bangku panjang; kursi hakim di pengadilan|o;o
cigar|cerutu|o
orbit|orbit, lintasan benda mengelilingi planet atau bintang|o
specifically|khusus, tepat untuk keperluan itu|o
sarge|sersan, sarge (informal)|o
bloom|bunga mekar; berbunga, mekar|o;v
creation|penciptaan, pembuatan; ciptaan, dunia yang dijadikan|o;o
envy|iri hati; iri, mengingini milik orang|o;v
glow|cahaya tetap tanpa nyala, bara; bersinar lembut|o;v
coma|koma, tidak sadarkan diri dalam waktu lama|o
infection|infeksi, penyakit karena kuman|o
immediate|segera, langsung; terdekat, paling dekat|o;o
mock|mengolok-olok dengan menirukan; pura-pura, latihan|v;o
riot|kerusuhan, huru-hara|o
mortal|fana, pasti mati; mematikan, membawa maut|o;o
republic|republik|o
educate|mendidik|v
hunger|lapar, kebutuhan akan makanan|o
gangster|gangster, anggota komplotan penjahat|o
fame|ketenaran, kemasyhuran|o
rascal|bandel, orang nakal, bajingan|o
confront|menghadapi dengan berani; memperhadapkan, mengonfrontasi|v;v
liquid|cairan, zat cair|o
harsh|kasar dan tidak enak; keras, kejam|o;o
recipe|resep masakan|o
laser|laser|o
splendid|megah, gemilang; bagus sekali|o;o
layer|lapisan|o
ladder|tangga, tangga panjat|o
pm|p.m., setelah tengah hari|o
savage|buas dan kejam; menyerang dengan buas|o;v
cemetery|kuburan, pemakaman|o
halloween|Halloween, malam 31 Oktober saat anak-anak berdandan seperti hantu|o
vulnerable|rentan, mudah dilukai atau diserang|o
vital|vital, penting bagi kehidupan; sangat penting, mutlak perlu|o;o
bureau|biro, badan pemerintah; biro, kantor layanan|o;o
greet|menyapa, menyambut|v
hawk|elang alap-alap, burung pemangsa bermata tajam|o
dip|mencelupkan sebentar; turunan, lereng ke bawah|v;o
hint|isyarat, petunjuk halus; menyindir, mengisyaratkan|o;v
phrase|frasa, kelompok kata|o
isolate|mengisolasi, memisahkan dari yang lain|v
rhythm|irama, ritme|o
tomb|makam, tempat menyemayamkan jenazah|o
muffled|(bunyi teredam, terdengar dari balik sesuatu)|g
jewelry|perhiasan|o
ankle|pergelangan kaki|o
disagree|tidak sependapat, berbeda pendapat|v
dummy|manekin, boneka peraga; orang bodoh (informal); empeng bayi|o;o;o
luggage|barang bawaan, koper dan tas|o
prey|mangsa|o
oops|(diucapkan saat berbuat salah kecil) ups|g
sketch|sketsa, gambar kasar; sketsa, adegan lucu singkat|o;o
plague|wabah, penyakit mematikan yang menyebar cepat; mengganggu terus-menerus|o;v
prior|sebelumnya, terdahulu; prior to: sebelum|o;n
alike|sama, serupa satu sama lain; sama-sama, dengan cara yang sama|o;o
excellency|(Your Excellency) Yang Mulia, sapaan untuk duta besar atau gubernur|o
skinny|kurus kering|o
burger|burger, daging sapi giling bulat dalam roti|o
dough|adonan tepung dan air; duit (informal)|o;o
gallery|galeri, ruang pameran seni; balkon, deretan kursi di lantai atas|o;o
physically|secara jasmani; dengan kekuatan fisik|o;o
spiritual|rohani, tentang jiwa bukan tubuh|o
bolt|grendel, palang pintu; kabur, lari mendadak|o;v
mug|mug, cangkir besar berdinding lurus; merampok di jalan|o;v
shepherd|gembala domba|o
unexpected|tak terduga, datang tiba-tiba|o
ensure|memastikan, menjamin|v
assassin|pembunuh tokoh penting|o
visual|visual, tentang penglihatan|v
arse|(vulgar) pantat|o
profession|profesi, pekerjaan yang butuh pendidikan panjang|o
opponent|lawan, penentang|o
silk|sutra|o
colony|koloni, negeri jajahan; koloni, kelompok pemukim atau hewan yang hidup bersama|o;o
instant|saat, sekejap; seketika, langsung jadi|o;o
alter|mengubah, mengganti sedikit|v
tempt|menggoda, memancing berbuat salah|v
brat|anak nakal, anak manja|o
overnight|semalam, sepanjang malam; dalam semalam, mendadak|o;o
enterprise|perusahaan; usaha berani, prakarsa baru|o;o
oven|oven, pemanggang|o
dignity|martabat, wibawa yang patut dihormati|o
urge|mendesak, mendorong kuat; dorongan, hasrat kuat|v;o
tech|teknologi; teknisi (informal)|o;o
heroin|heroin|o
psycho|orang sinting yang berbahaya (informal)|o
fracture|patah tulang, retak; mematahkan, meretakkan|o;v
inn|penginapan kecil di desa|o
poke|mencolek, menusuk dengan jari atau benda runcing|v
coal|batu bara|o
genetic|genetik, tentang gen dan sifat bawaan|v
misery|kesengsaraan, penderitaan|o
hiss|(bunyi desis panjang seperti ular)|g
imitate|meniru gaya bicara atau tingkah orang|v
supreme|tertinggi, paling agung|o
bingo|bingo, permainan mencocokkan angka; (seruan saat tepat) nah|o;g
excitement|kegembiraan, semangat yang menggebu|o
mankind|umat manusia|o
idol|idola, orang yang sangat dipuja; berhala, patung sesembahan|o;o
summon|memanggil, memerintahkan datang|v
initial|awal, mula-mula; inisial, huruf pertama nama|o;o
sweater|sweter, baju rajut|o
passage|lorong, jalan lintas; petikan, bagian buku atau musik; pelayaran|o;o;o
crab|kepiting|o
cocaine|kokain|o
pale|pucat, muda warnanya; pucat, tidak berdarah mukanya|o;o
copper|tembaga; polisi (informal Inggris)|o;o
cotton|kapas; katun, kain dari kapas|o;o
execution|eksekusi, hukuman mati; pelaksanaan rencana|o;o
disgrace|aib, hilangnya kehormatan karena perbuatan salah|o
association|perkumpulan, asosiasi; kaitan, hubungan dalam pikiran|o;o
ninja|ninja, pendekar Jepang ahli serangan rahasia|o
ambition|ambisi, hasrat kuat untuk berhasil; cita-cita, tujuan yang dikejar|o;o
lo|(kuno) lihatlah|o
trailer|gandengan, kereta tarikan; cuplikan iklan film|o;o
claw|cakar|o
embassy|kedutaan besar|o
psychic|indigo, punya kemampuan batin|o
assistance|bantuan, pertolongan|o
brother-in-law|ipar laki-laki, saudara suami atau istri; suami dari saudara perempuan|o;o
scent|wangi, bau harum; jejak bau binatang|o;o
clip|jepitan, penjepit; klip, potongan pendek film; menggunting|o;o;v
pigeon|merpati|o
elsewhere|di tempat lain, ke tempat lain|o
condom|kondom|o
consent|menyetujui; persetujuan, izin|v;o
practical|praktis, berguna dalam kehidupan nyata; cekatan, terampil tangannya|o;o
adorable|menggemaskan, sangat menawan|o
hatch|menetas; palka, lubang di lantai atau dinding|v;o
purple|ungu|o
personnel|personel, para pegawai|o
era|era, zaman|o
tan|cokelat kulit karena berjemur; cokelat muda kekuningan|o;o
factor|faktor, hal yang ikut menyebabkan|o
nun|biarawati, rubiah|o
cunt|(sangat kasar) kemaluan perempuan; bajingan, orang keparat|o;o
inherit|mewarisi dari orang yang meninggal; menurun dari orang tua|v;v
noodle|mi|o
apologise|apologise, ejaan Inggris dari apologize|o
exception|kekecualian, hal yang tidak mengikuti aturan|o
sponsor|sponsor, penyandang dana acara; mensponsori, membiayai|o;v
keen|bersemangat, antusias; tajam|o;o
businessman|pengusaha, pebisnis|o
fluid|cairan; lancar, mengalir dengan halus|o;o
haul|menarik dengan susah payah; hasil tangkapan atau curian|v;o
eastern|timur, dari arah timur|o
ay|(seruan duka atau kaget) aduh|g
advertise|mengiklankan|v
december|Desember|o
clerk|juru tulis, pegawai tata usaha|o
anonymous|anonim, tanpa nama|o
bold|berani, nekat; tebal, jelas dan tegas|o;o
wrestle|bergulat; bergulat dengan masalah, bersusah payah|v;v
stack|tumpukan rapi; menumpuk|o;v
distress|kesusahan, penderitaan berat; marabahaya di laut|o;o
grill|memanggang langsung di atas api; mencecar dengan pertanyaan|v;v
corrupt|korup, suka menerima suap; menyuap, merusak kejujuran|o;v
sixth|ke-6|o
reporting|pemberitaan; pelaporan, penyampaian laporan resmi|o;o
dinosaur|dinosaurus|o
adjust|menyetel, menyesuaikan sedikit; menyesuaikan diri, terbiasa|v;v
author|penulis, pengarang|o
franc|franc, mata uang beberapa negara|o
shade|tempat teduh; corak warna, gradasi; kap lampu|o;o;o
ceiling|langit-langit; batas atas, plafon|o;o
civilization|peradaban|o
scum|sampah masyarakat, orang hina; buih kotoran di air|o;o
x-ray|rontgen, foto bagian dalam tubuh|o
geez|(seruan kesal, bentuk lebih halus dari "Jesus") astaga|g
investigator|penyidik, penyelidik|o
participate|ikut serta, berpartisipasi|v
villa|vila, rumah besar berhalaman|o
dash|berlari cepat; tanda pisah dalam tulisan|v;o
wizard|penyihir laki-laki|o
faithful|setia, menepati janji; setia, sesuai aslinya|o;o
discharge|memulangkan dari rumah sakit atau dinas; mengeluarkan, memancarkan|v;v
uh-uh|(bunyi yang berarti tidak)|g
filling|isi, yang dimasukkan ke dalam; tambalan gigi|o;o
onion|bawang bombai|o
primary|utama, paling penting; dasar, tahap paling awal|o;o
t-shirt|kaus oblong, kaus lengan pendek|o
finance|keuangan, pengelolaan uang; membiayai, mendanai|o;v
shitty|(vulgar) jelek sekali, menyebalkan|o
resume|melanjutkan kembali setelah terhenti|v
surf|berselancar di ombak; berselancar di internet|v;v
affection|kasih sayang|o
therapist|terapis, ahli pengobatan jiwa atau tubuh|o
evolve|berkembang perlahan, berevolusi|v
corporal|kopral|o
elect|memilih lewat pemungutan suara|v
tub|bak besar; bak mandi|o;o
exclaim|berseru tiba-tiba|v
hopeless|tanpa harapan, putus asa; payah, tidak becus|o;o
swamp|rawa; menggenangi, membanjiri|o;v
tide|pasang surut air laut|o
luckily|untungnya, syukurlah|o
grocery|toko kelontong, warung sembako; (groceries) bahan makanan belanjaan|o;o
hesitate|ragu-ragu, tertegun sebelum bertindak|v
heir|ahli waris|o
circuit|sirkuit, jalur tertutup arus listrik; perjalanan berkeliling|o;o
harbor|pelabuhan, teluk tempat kapal berlabuh; melindungi, menampung|o;v
breach|pelanggaran aturan atau perjanjian; celah, lubang di tembok|o;o
gesture|gerak tangan atau kepala, isyarat; sikap yang menunjukkan perasaan|o;o
pledge|ikrar, janji khidmat; berikrar, berjanji dengan sungguh|o;v
moan|mengerang kesakitan; mengeluh, menggerutu|v;v
gathering|perkumpulan, pertemuan orang|o
gag|membekap mulut agar tak bersuara; lelucon, banyolan|v;o
ahem|(bunyi berdeham untuk menarik perhatian)|g
appetite|nafsu makan, selera; hasrat besar akan sesuatu|o;o
submit|menyerah, mengalah; mengajukan, menyerahkan untuk diputuskan|v;v
pickle|acar, sayur dalam cuka; keadaan sulit, kerepotan|o;o
tuck|menyelipkan, memasukkan ujungnya|v
aircraft|pesawat terbang, wahana udara|o
representative|wakil, utusan; mewakili, khas suatu kelompok|o;o
bracelet|gelang|o
gal|cewek, gadis (informal)|o
hon|sayang, manis (sebagai sapaan)|o
corporation|korporasi, perusahaan besar|o
aggressive|agresif, gampang menyerang atau bertengkar; gencar, penuh tekanan|o;o
rev|menggeber mesin, memutar lebih cepat|v
significant|berarti, cukup besar untuk diperhitungkan; sarat makna, penuh arti|o;o
pony|kuda poni|o
devote|mengabdikan, mencurahkan waktu atau kasih sepenuhnya|v
dunno|nggak tahu (informal)|o
peasant|petani miskin berlahan sempit|o
dull|membosankan, hambar; suram, tidak cerah; tumpul|o;o;o
perspective|sudut pandang, cara memandang; perspektif, rasa akan apa yang terpenting|o;o
satan|(Satan) Setan, Iblis|o
bra|beha, kutang|o
cease|berhenti, menghentikan (resmi)|v
spoon|sendok|o
formula|rumus, formula, cara baku membuat atau menghitung|o
strict|ketat, tegas menegakkan aturan; ketat, persis|o;o
foreigner|orang asing, warga negara lain|o
emerge|muncul, keluar ke permukaan; terungkap, mulai diketahui|v;v
mature|matang, tumbuh penuh; dewasa, bersikap matang|o;o
earthquake|gempa bumi|o
prep|persiapan; menyiapkan (informal)|o;v
picnic|piknik, makan di luar ruangan|o
invade|menyerbu, menginvasi negeri|v
soak|membasahi sampai kuyup; merendam, terendam|v;v
tolerate|menoleransi, tahan terhadap; membiarkan, mengizinkan|v;v
bare|telanjang, tanpa penutup; pas-pasan, hanya sekadar cukup|o;o
mere|hanya, sekadar|o
parole|pembebasan bersyarat|o
rainbow|pelangi|o
destination|tujuan perjalanan|o
storage|penyimpanan|o
rusty|berkarat; tumpul, lama tak dilatih|o;o
breed|membiakkan, mengembangbiakkan; jenis, ras hewan|v;o
luxury|kemewahan, hidup serba enak; barang mewah, hal yang enak tapi tidak perlu|o;o
stiff|kaku, sulit dibengkokkan; kaku, formal sikapnya|o;o
repay|membayar kembali, melunasi|v
sustain|mempertahankan, menopang terus; mengalami, menderita|v;v
auction|lelang|o
knot|simpul; knot, kecepatan satu mil laut per jam|o;o
forge|memalsukan; menempa logam|v;v
condemn|mengecam keras; menjatuhkan hukuman|v;v
ms|Ms., sebutan untuk perempuan tanpa menyebut status nikahnya|o
corporate|korporat, tentang perusahaan besar|o
addition|penambahan; tambahan, yang ditambahkan|o;o
warden|kepala penjara, penjaga gedung|o
chess|catur|o
cafe|kafe, kedai minuman dan makanan ringan|o
jar|toples, stoples bermulut lebar|o
bonus|bonus, tambahan bayaran atau keuntungan|o
lure|memikat dengan janji; umpan, pemikat|v;o
cargo|kargo, muatan kapal atau pesawat|o
painter|pelukis, tukang cat|o
wha|(salah cetak dari what) apa|o
hush|(meminta diam) sst; kesunyian, kesenyapan|g;o
journal|jurnal, catatan harian; jurnal, majalah ilmiah|o;o
rag|kain lap, potongan kain lusuh|o
justify|membenarkan, menunjukkan bahwa itu wajar|v
amateur|amatir, melakukan karena senang bukan demi bayaran|o
institute|institut, lembaga kajian atau perjuangan|o
tender|lembut dan penuh kasih; nyeri bila disentuh; empuk, tidak alot|o;o;o
broadcast|menyiarkan lewat radio atau televisi; siaran|v;o
estimate|memperkirakan kasar; perkiraan ukuran atau biaya|v;o
neat|rapi, teratur; cerdik dan sederhana; (tentang minuman) murni, tanpa campuran|o;o;o
pencil|pensil|o
