# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Portuguese. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Portuguese where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|você, vocês (uma ou várias pessoas)|f2s2p
prom|baile formal da escola (americano)|o
collar|gola da camisa, coleira do cachorro|o
halt|parar, deter; parada, alto|v;o
wade|caminhar dentro d'água|v
irish|irlandês, da Irlanda|o
nanny|babá|o
october|outubro|o
scandal|escândalo, ato que choca as pessoas; a falação em torno disso|o;o
chart|folha com números ou carta náutica|o
euro|euro|o
amongst|entre, no meio de|o
persuade|persuadir, convencer|v
conspiracy|conspiração, plano secreto de várias pessoas|o
update|atualizar; atualização, a informação mais nova|v;o
envelope|envelope|o
sunshine|a luz e o calor do sol|o
undercover|disfarçado, que trabalha em segredo|o
operator|operador de uma máquina ou de uma central telefônica|o
contrary|contrário, oposto; on the contrary: pelo contrário|o;n
poker|pôquer; atiçador para mexer no fogo|o;o
arrival|chegada a um lugar; recém-chegado|o;o
stun|deixar sem sentidos; deixar pasmo, chocar|v;v
leap|dar um salto grande|v
assist|ajudar, auxiliar|v
depth|profundidade|o
counselor|conselheiro, quem orienta sobre problemas; advogado (americano)|o;o
tragic|trágico, que acaba em desgraça|o
uhh|(som longo de hesitação)|g
sis|irmã, mana (informal)|o
commitment|compromisso que obriga; entrega total|o;o
tennis|tênis|o
traditional|tradicional|o
delicate|delicado, fácil de quebrar; delicado, que exige cuidado|o;o
weep|chorar, derramar lágrimas|v
cycle|ciclo de fatos que se repetem; bicicleta|o;o
cocktail|coquetel|o
foul|nojento, repugnante; falta numa partida|o;o
bait|isca; atrair, provocar|o;v
sniffle|fungar pelo nariz entupido|v
sting|picar com ferrão; ardência, dor aguda|v;o
tomato|tomate|o
murmur|murmurar, falar baixinho|v
northern|do norte, nortista|o
nowadays|hoje em dia, ao contrário de antes|o
drift|ir à deriva, ser levado pela água ou pelo ar; vagar sem rumo|v;v
ant|formiga|o
gum|gengiva; chiclete|o;o
companion|companheiro, quem lhe faz companhia|o
ban|proibir oficialmente; proibição oficial|v;o
overwhelm|ser demais para, sobrecarregar; arrasar, vencer por completo|v;v
gently|com suavidade e cuidado|o
snore|roncar|v
roast|assar no forno ou na brasa|v
define|definir, dizer o que algo significa exatamente|v
gunfire|(som de tiros)|g
stitch|ponto de costura; pontada no lado do corpo|o;o
certificate|certidão, documento oficial|o
backwards|para trás; ao contrário, na ordem inversa|o;o
airplane|avião (americano)|o
hooker|prostituta, puta (informal)|o
iike|(erro de impressão de like) como|o
bin|lata de lixo|o
protocol|protocolo, como se portar em atos oficiais; protocolo, regras de troca de dados|o;o
petty|insignificante, de pouca monta; mesquinho, implicante|o;o
crow|corvo|o
fucker|(vulgar) filho da puta, desgraçado|o
spark|faísca de fogo; centelha de eletricidade|o;o
leather|couro|o
bacon|bacon, toucinho defumado|o
dutch|holandês, dos Países Baixos; o idioma neerlandês|o;o
endure|suportar, aguentar; perdurar, durar|v;v
forgiveness|perdão|o
permanent|permanente, para sempre|o
dammit|(vulgar) droga, exclamação de irritação|o
darn|(exclamação leve de irritação) poxa; cerzir um furo no tecido|g;v
sub|reserva, substituto; submarino (informal)|o;o
alternative|alternativa, outra opção; alternativo, que substitui o usual|o;o
sunny|ensolarado; alegre, risonho|o;o
african|africano, da África|o
packing|o ato de embalar; material que protege a mercadoria|o;o
yen|iene, moeda japonesa; desejo forte, vontade|o;o
consult|consultar, pedir conselho a; consultar, procurar num livro|v;v
myth|mito, história antiga de deuses e heróis; mito, crença falsa muito difundida|o;o
suite|suíte, conjunto de cômodos; jogo de móveis|o;o
unfair|injusto, que não trata todos igualmente|o
polite|educado, cortês|o
mob|turba, multidão desordenada; a máfia, o crime organizado|o;o
nigger|(insulto muito ofensivo contra uma pessoa negra)|g
illusion|ilusão, ideia falsa; ilusão, algo que parece outra coisa|o;o
motorcycle|motocicleta|o
wander|vagar, andar sem rumo certo|v
reflect|refletir a luz ou uma imagem; refletir, pensar com calma|v;v
pistol|pistola|o
smack|dar um tapa com a mão aberta; o som seco desse tapa|v;o
draft|rascunho, primeira versão; convocação para o serviço militar|o;o
ham|presunto|o
poster|cartaz, pôster|o
resolve|resolver um problema; resolver, decidir com firmeza|v;v
pad|almofadinha, chumaço; bloco de folhas|o;o
fold|dobrar|v
absurd|absurdo, tão sem sentido que dá risada|o
villain|vilão, pessoa malvada; vilão de uma história|o;o
unlock|destrancar com a chave|v
rod|vara, haste comprida e fina|o
lesbian|lésbica|o
economy|a economia de um país; economia, uso cuidadoso do que se tem|o;o
acid|ácido; ácido, LSD (informal)|o;o
steer|dirigir, guiar um veículo ou barco|v
squeak|(guincho curto e agudo)|g
insect|inseto|o
lighter|isqueiro; menos pesado|o;o
thanksgiving|Dia de Ação de Graças, feriado americano de novembro|o
receipt|recibo, comprovante de pagamento|o
overcome|vencer, superar; ser tomado por uma emoção|v;v
theft|furto, o crime de roubar|o
adore|adorar, amar profundamente; adorar, gostar muito de|v;v
cleaner|pessoa ou produto que limpa|o
frustrate|frustrar, impedir que alguém consiga o que quer|v
feast|banquete, refeição farta para muitos|o
cabinet|armário com prateleiras; gabinete, os ministros principais|o;o
sire|(antigo) senhor, tratamento para um rei|o
immunity|estar a salvo de uma doença ou da lei|o
tin|estanho; lata de comida|o;o
cricket|críquete; grilo|o;o
closely|de perto; com muita atenção|o;o
length|comprimento; trecho de certo tamanho|o;o
oath|juramento solene, sobretudo em juízo; palavrão|o;o
perfume|perfume|o
soccer|futebol de campo|o
combine|combinar, juntar num só|v
solo|solo, feito sozinho; solo, trecho tocado por uma pessoa|o;o
strangle|estrangular|v
tension|tensão, sensação de nervosismo; tensão de uma corda ou cabo|o;o
autopsy|autópsia|o
rubber|borracha, feita da seiva de árvore; borracha de apagar|o;o
rear|a parte de trás; criar filhos ou animais|o;v
defence|defence, grafia britânica de defense|o
november|novembro|o
discipline|disciplina, treino para obedecer a regras; punição; disciplina, ramo de estudo|o;o;o
vault|câmara-forte trancada; saltar apoiando-se nas mãos|o;v
whine|choramingar, fazer um som agudo de queixa|v
penalty|castigo por quebrar uma regra; pênalti, cobrança no futebol|o;o
cattle|gado bovino|o
unconscious|desacordado, sem sentidos; inconsciente, que a mente não percebe|o;o
fairly|razoavelmente, até certo ponto; com justiça|o;o
slaughter|abate de animais para carne; massacre de muita gente|o;o
radiation|radiação, energia emitida em raios|o
column|coluna, pilar alto; coluna, faixa estreita de uma página|o;o
bench|banco de sentar; a bancada do juiz|o;o
cigar|charuto|o
orbit|órbita|o
specifically|especificamente, para esse fim exato|o
sarge|sargento (informal)|o
bloom|flor; florescer|o;v
creation|criação, o ato de criar; a criação, o mundo criado|o;o
envy|inveja, vontade de ter o do outro; invejar|o;v
glow|brilho sem chama; brilhar suavemente|o;v
coma|coma, inconsciência profunda e prolongada|o
infection|infecção|o
immediate|imediato, que ocorre na hora; imediato, o mais próximo|o;o
mock|zombar imitando; simulado, de treino|v;o
riot|tumulto, desordem violenta de uma multidão|o
mortal|mortal, que há de morrer; mortal, que causa a morte|o;o
republic|república|o
educate|educar, instruir ao longo do tempo|v
hunger|fome, necessidade ou vontade de comer|o
gangster|gângster, membro de uma quadrilha|o
fame|a fama|o
rascal|malandro, sem-vergonha|o
confront|enfrentar com coragem; confrontar, pôr cara a cara com|v;v
liquid|líquido|o
harsh|áspero e desagradável; severo, duro|o;o
severe|gravíssimo, muito rigoroso|o
recipe|receita de cozinha|o
laser|laser|o
splendid|esplêndido, magnífico; ótimo|o;o
layer|camada de material|o
ladder|escada de mão|o
pm|p.m., depois do meio-dia|o
savage|selvagem, feroz e cruel; atacar com ferocidade|o;v
cemetery|cemitério|o
halloween|Halloween, a noite de 31 de outubro em que as crianças se fantasiam|o
vulnerable|vulnerável, fácil de ferir ou atacar|o
vital|vital, necessário à vida; vital, da maior importância|o;o
bureau|repartição do governo; escritório de um serviço|o;o
greet|cumprimentar, saudar|v
hawk|falcão, gavião|o
dip|mergulhar rapidamente num líquido; descida, declive|v;o
hint|indício, insinuação; insinuar, dar a entender|o;v
phrase|frase, grupo de palavras|o
isolate|isolar, manter separado|v
rhythm|ritmo|o
tomb|túmulo, sepulcro|o
muffled|(som abafado, ouvido através de algo)|g
jewelry|joias, bijuterias|o
ankle|tornozelo|o
disagree|discordar|v
dummy|manequim; bobo (informal); chupeta de bebê|o;o;o
luggage|bagagem|o
prey|presa, animal caçado por outro|o
oops|(ao cometer um errinho) opa|g
sketch|esboço, desenho rápido; esquete, cena curta e cômica|o;o
plague|peste, doença mortal que se espalha; atormentar sem parar|o;v
prior|prévio, anterior; prior to: antes de|o;n
alike|iguais, parecidos entre si; igualmente, do mesmo modo|o;o
excellency|(Your Excellency) Vossa Excelência, tratamento para embaixador ou governador|o
skinny|magrelo, muito magro|o
burger|hambúrguer|o
dough|massa de farinha e água; grana, dinheiro (informal)|o;o
gallery|galeria de arte; galeria, andar de cima das poltronas|o;o
physically|fisicamente, no corpo; à força, pela força física|o;o
spiritual|espiritual, da alma e não do corpo|o
bolt|ferrolho da porta; disparar, sair correndo|o;v
mug|caneca; assaltar na rua|o;v
shepherd|pastor de ovelhas|o
unexpected|inesperado|o
ensure|garantir, assegurar|v
assassin|assassino de um líder|o
visual|visual, da visão|o
arse|(vulgar) bunda, traseiro|o
profession|profissão, ofício que exige longa formação|o
opponent|adversário, rival|o
silk|seda|o
colony|colônia governada por outro país; colônia de colonos ou de animais|o;o
instant|instante, momento; instantâneo, que acontece na hora|o;o
alter|alterar, mudar em algo|v
tempt|tentar, despertar o desejo de algo errado|v
brat|pirralho malcriado|o
overnight|durante a noite; da noite para o dia, de repente|o;o
enterprise|empresa, firma; empreendimento, projeto ousado|o;o
oven|forno|o
dignity|dignidade, porte sereno que impõe respeito|o
urge|insistir com alguém, exortar; impulso, vontade forte|v;o
tech|tecnologia; técnico (informal)|o;o
heroin|heroína, droga ilegal forte feita do ópio|o
psycho|psicopata, louco violento (informal)|o
fracture|fratura de um osso; fraturar, quebrar|o;v
inn|estalagem, pousada de beira de estrada|o
poke|cutucar, espetar com o dedo ou algo pontudo|v
coal|carvão|o
genetic|genético, dos genes e do que se herda|o
misery|desgraça, grande sofrimento|o
hiss|(chiado longo e agudo, como o da cobra)|g
imitate|imitar|v
supreme|supremo, o mais alto em posto ou grau|o
bingo|bingo, jogo de números cantados; (grito ao acertar) bingo|o;g
excitement|empolgação, entusiasmo|o
mankind|a humanidade|o
idol|ídolo, pessoa muito admirada; ídolo, imagem adorada como deus|o;o
summon|mandar chamar, convocar|v
initial|inicial, do começo; inicial, primeira letra de um nome|o;o
sweater|suéter, blusa de lã|o
passage|passagem, corredor; passagem de um livro ou de uma música; travessia por mar|o;o;o
crab|caranguejo|o
cocaine|cocaína|o
pale|pálido, de cor clara; pálido, sem cor no rosto|o;o
copper|cobre; tira, policial (britânico informal)|o;o
cotton|algodão (a fibra); tecido de algodão|o;o
execution|execução, dar morte por sentença; execução de um plano|o;o
disgrace|desonra, perda do respeito por uma má ação|o
association|associação, grupo com um fim; associação, ligação feita na mente|o;o
ninja|ninja, guerreiro japonês do ataque furtivo|o
ambition|ambição, vontade de vencer; meta a que se aspira|o;o
lo|(antigo) eis, veja|o
trailer|reboque, carreta; trailer, prévia de um filme|o;o
claw|garra|o
embassy|embaixada|o
psychic|paranormal, com poderes da mente|o
assistance|ajuda, assistência|o
brother-in-law|cunhado, irmão do cônjuge; cunhado, marido da irmã|o;o
scent|aroma, cheiro agradável; rastro de cheiro deixado por um animal|o;o
clip|clipe, prendedor pequeno; clipe, trecho de um filme; aparar com tesoura|o;o;v
pigeon|pombo|o
elsewhere|em outro lugar, para outro lugar|o
condom|camisinha, preservativo|o
consent|consentir, concordar com; consentimento|v;o
practical|prático, útil na vida real; habilidoso com as mãos|o;o
adorable|adorável, tão encantador que não dá para não amar|o
hatch|sair do ovo; escotilha, abertura no piso ou na parede|v;o
purple|roxo|o
personnel|o pessoal de uma organização|o
era|era, longo período da história|o
tan|bronzeado da pele; marrom-claro amarelado|o;o
factor|fator, algo que ajuda a causar um resultado|o
nun|freira|o
cunt|(muito ofensivo) buceta, órgão sexual feminino; pessoa desprezível|o;o
inherit|herdar de quem morreu; herdar dos pais|v;v
noodle|macarrão, talharim|o
apologise|apologise, grafia britânica de apologize|o
exception|exceção|o
sponsor|patrocinador; patrocinar|o;v
keen|entusiasmado, animado; afiado, aguçado|o;o
businessman|empresário, homem de negócios|o
fluid|fluido, líquido; fluido, que corre com suavidade|o;o
haul|puxar com esforço; carga, o que se levou ou roubou|v;o
eastern|do leste, oriental|o
ay|(exclamação de pesar ou surpresa) ai|g
advertise|anunciar, fazer propaganda para que comprem|v
december|dezembro|o
clerk|escriturário, funcionário que faz registros|o
anonymous|anônimo, sem nome|o
bold|audacioso, ousado; forte e nítido|o;o
wrestle|lutar corpo a corpo; batalhar com um problema|v;v
stack|pilha arrumada; empilhar|o;v
distress|angústia, grande dor ou aflição; perigo no mar|o;o
grill|grelhar; interrogar com dureza|v;v
corrupt|corrupto, desonesto; corromper|o;v
sixth|6º|o
reporting|o noticiar; o prestar um relato oficial|o;o
dinosaur|dinossauro|o
adjust|ajustar, corrigir um pouco; adaptar-se, acostumar-se|v;v
author|autor de um livro|o
franc|franco, moeda de alguns países|o
shade|sombra, lugar fora do sol; tom de uma cor; cúpula de abajur|o;o;o
ceiling|teto de um cômodo; teto, limite máximo|o;o
civilization|civilização|o
scum|escória, gente desprezível; camada de sujeira na água|o;o
x-ray|radiografia, raio-x|o
geez|(exclamação de irritação, forma mais leve de "Jesus")|g
investigator|investigador|o
participate|participar|v
villa|villa, casa grande com jardim|o
dash|sair correndo; travessão, traço na escrita|v;o
wizard|mago, feiticeiro|o
faithful|fiel, leal; fiel ao original|o;o
discharge|dar alta do hospital ou baixa das forças armadas; emitir, expelir|v;v
uh-uh|(som que significa não)|g
filling|recheio; obturação de um dente|o;o
onion|cebola|o
primary|primordial, o mais importante; primário, da fase inicial|o;o
t-shirt|camiseta|o
finance|as finanças, o manejo do dinheiro; financiar|o;v
shitty|(vulgar) de merda, péssimo|o
resume|retomar, continuar depois de uma pausa|v
surf|surfar nas ondas; navegar na internet|v;v
affection|carinho, afeto|o
therapist|terapeuta|o
evolve|evoluir, desenvolver-se aos poucos|v
corporal|cabo (posto abaixo de sargento)|o
elect|eleger pelo voto|v
tub|tina, vasilha grande e redonda; banheira|o;o
exclaim|exclamar, gritar de repente|v
hopeless|sem esperança; péssimo em algo|o;o
swamp|pântano, brejo; inundar, sobrecarregar|o;v
tide|maré|o
luckily|por sorte|o
grocery|mercearia, loja de alimentos; (groceries) as compras de comida|o;o
hesitate|hesitar, titubear antes de agir|v
heir|herdeiro|o
circuit|circuito elétrico; circuito, volta completa|o;o
harbor|porto, enseada onde os navios param; abrigar, dar guarida a|o;v
breach|violação de uma regra ou acordo; brecha aberta num muro|o;o
gesture|gesto, movimento da mão ou da cabeça; gesto, ato que mostra sentimento|o;o
pledge|promessa solene; prometer solenemente|o;v
moan|gemer de dor; reclamar, lamuriar|v;v
gathering|reunião de pessoas|o
gag|amordaçar para não sair som; piada, gag|v;o
ahem|(som para chamar a atenção) ahã|g
appetite|apetite, vontade de comer; ânsia, desejo forte de algo|o;o
submit|ceder, render-se; apresentar, entregar para decisão|v;v
pickle|conserva, legume no vinagre; enrascada, situação difícil|o;o
tuck|enfiar a ponta de algo no lugar|v
aircraft|aeronave, qualquer máquina voadora|o
representative|representante, quem age por outros; representativo, típico de um grupo|o;o
bracelet|pulseira, bracelete|o
gal|garota, moça (informal)|o
hon|querido, meu bem (ao se dirigir a alguém)|o
corporation|corporação, empresa grande|o
aggressive|agressivo, pronto para atacar ou brigar; agressivo, enérgico|o;o
rev|acelerar o motor|v
significant|considerável, grande o bastante para contar; significativo, cheio de sentido|o;o
pony|pônei, cavalinho|o
devote|dedicar inteiramente o tempo ou o amor a|v
dunno|sei lá, não sei (informal)|o
peasant|camponês pobre de um pedaço de terra|o
dull|chato, sem graça; opaco, sem brilho; cego, sem corte|o;o;o
perspective|perspectiva, modo de ver as coisas; perspectiva, noção do que mais importa|o;o
satan|(Satan) Satanás, o Diabo|o
bra|sutiã|o
cease|cessar, deixar de (formal)|v
spoon|colher|o
formula|fórmula, maneira fixa de fazer ou calcular algo|o
strict|rigoroso, firme quanto ao cumprimento das regras; estrito, exato|o;o
foreigner|estrangeiro, pessoa de outro país|o
emerge|emergir, surgir à vista; vir à tona, tornar-se conhecido|v;v
mature|maduro, já crescido; maduro, que age como adulto|o;o
earthquake|terremoto|o
prep|preparação; preparar, aprontar (informal)|o;v
picnic|piquenique, refeição ao ar livre|o
invade|invadir um país à força|v
soak|encharcar; deixar de molho|v;v
tolerate|tolerar, aguentar; tolerar, permitir|v;v
bare|nu, descoberto; apenas o suficiente|o;o
mere|mero, nada mais que|o
parole|liberdade condicional|o
rainbow|arco-íris|o
destination|destino, para onde se viaja|o
storage|armazenamento, guardar coisas até precisar|o
rusty|enferrujado; sem prática, destreinado|o;o
breed|criar animais; raça, tipo de animal|v;o
luxury|luxo, vida rica e confortável; um luxo, algo bom mas não necessário|o;o
stiff|duro, difícil de dobrar; formal, sem naturalidade|o;o
repay|devolver, pagar de volta|v
sustain|sustentar, manter; sofrer um dano|v;v
auction|leilão|o
knot|nó; nó, velocidade de uma milha náutica por hora|o;o
forge|falsificar; forjar metal no calor|v;v
condemn|condenar, dizer com força que algo está errado; condenar, sentenciar|v;v
ms|Ms., título para uma mulher sem dizer se é casada|o
corporate|corporativo, de uma grande empresa|o
addition|adição, o acrescentar; acréscimo, o que se acrescenta|o;o
warden|diretor de uma prisão ou zelador de um prédio|o
chess|xadrez|o
cafe|café, lugar de bebidas e refeições leves|o
jar|pote de boca larga|o
bonus|bônus, pagamento ou benefício extra|o
lure|atrair com uma promessa; isca, o que tenta|v;o
cargo|carga levada por navio ou avião|o
painter|pintor de quadros ou de paredes|o
wha|(erro de impressão de what) o que|o
hush|(pedindo silêncio) psiu; silêncio|g;o
journal|diário mantido dia a dia; revista especializada|o;o
rag|trapo, pedaço de pano velho|o
justify|justificar, mostrar que é certo ou razoável|v
amateur|amador, que faz por gosto e não por dinheiro|o
institute|instituto, entidade criada para o estudo ou uma causa|o
tender|terno e carinhoso; dolorido ao toque; macio, tenro|o;o;o
broadcast|transmitir por rádio ou televisão; programa transmitido|v;o
estimate|estimar, calcular por alto; estimativa aproximada do tamanho ou custo|v;o
neat|arrumado, em ordem; engenhoso e simples; (de bebida) puro, sem nada|o;o;o
pencil|lápis|o
pancake|panqueca|o
wee|pequenininho (escocês); (informal) fazer xixi|o;v
teenage|adolescente, de 13 a 19 anos|o
stalk|espreitar, seguir às escondidas; caule de uma planta|v;o
donkey|burro, jumento|o
worthless|sem valor nenhum|o
kindness|bondade, o ser bom; um ato de bondade|o;o
carriage|carruagem puxada a cavalo; vagão de trem|o;o
plead|implorar, suplicar; declarar-se diante de uma acusação|v;v
constable|policial do posto mais baixo (britânico)|o
employ|empregar, dar trabalho pago a; empregar, fazer uso de|v;v
vein|veia|o
sunset|pôr do sol|o
straighten|endireitar; arrumar, pôr em ordem|v;v
campus|campus, terreno de uma universidade|o
instrumental|decisivo, que ajuda a realizar; instrumental, só com instrumentos|o;o
scotch|uísque escocês|o
website|site na internet|o
risky|arriscado, perigoso|o
fur|pelo, pelagem de um animal|o
january|janeiro|o
eleven|11|o
sector|setor, parte de uma área ou do comércio|o
ginger|gengibre; ruivo, laranja avermelhado|o;o
violate|violar uma lei ou promessa; violar, tratar sem respeito|v;v
boarding|embarque num navio ou avião; internato, morar na escola|o;o
residence|residência, casa onde se mora; residência, o morar num lugar|o;o
hobby|passatempo, hobby|o
donate|doar a uma boa causa|v
kindly|gentilmente, com bondade; (por favor) tenha a bondade de|o;o
pimp|cafetão, quem vive das prostitutas|o
nickname|apelido|o
resort|estância turística, resort; resort to: recorrer a como último recurso|o;n
martial|marcial, da guerra; martial arts: artes marciais|o;n
nigga|(ofensivo, usado sobretudo entre falantes negros) mano, parceiro|o
puppet|fantoche, marionete; fantoche, pessoa manobrada por outro|o;o
upside|(upside down) de cabeça para baixo; o lado bom de uma situação|o;o
imperial|imperial, de um império ou imperador|o
paranoid|paranoico, convencido sem razão de que os outros querem lhe fazer mal|o
democracy|democracia|o
rehearse|ensaiar uma peça ou concerto|v
congress|o Congresso dos Estados Unidos; congresso, grande reunião formal|o;o
mole|pinta, sinal na pele; toupeira; toupeira, espião infiltrado numa organização|o;o;o
olive|azeitona; oliveira|o;o
recovery|recuperação, o sarar; recuperação do que se perdeu|o;o
pinch|beliscar; surrupiar, roubar (informal)|v;v
championship|campeonato|o
porter|carregador de bagagem; porteiro|o;o
crop|lavoura, safra; cortar curto, aparar|o;v
jaw|mandíbula, queixo|o
manipulate|manipular alguém para os próprios fins; manejar com destreza|v;v
robber|assaltante, ladrão que rouba à força|o
handling|manejo, forma de lidar com algo|o
stunt|acrobacia, cena perigosa de um filme; atrofiar, impedir de crescer|o;v
accidentally|por acidente, sem querer|o
sympathy|compaixão pelo sofrimento do outro; simpatia, concordância com uma posição|o;o
importance|importância|o
lodge|casinha na entrada da propriedade; hospedar-se em quarto alugado; apresentar uma queixa formal|o;v;v
bachelor|solteiro, homem que nunca se casou|o
ex-wife|ex-mulher|o
peak|o ponto mais alto, auge; pico de uma montanha|o;o
trophy|troféu|o
psychiatrist|psiquiatra|o
pacific|do oceano Pacífico; pacífico, tranquilo|o;o
glorious|glorioso, esplêndido|o
champ|campeão (informal)|o
subway|metrô (americano); passagem subterrânea (britânico)|o;o
acknowledge|reconhecer que é verdade; acusar o recebimento de|v;v
hatred|ódio|o
platform|plataforma, palanque; plataforma da estação de trem; plataforma, propostas de um partido|o;o;o
waitress|garçonete|o
panel|painel, tábua encaixada numa porta ou parede; painel, grupo que debate ou julga|o;o
particle|partícula|o
ministry|ministério do governo; ministério, o trabalho de um pastor|o;o
inspiration|inspiração, ideia repentina; inspiração, quem ou o que move a agir|o;o
splash|espirrar líquido; o barulho da água ao espirrar|v;o
dentist|dentista|o
so-called|assim chamado, embora sem razão|o
anyways|de qualquer forma, em todo caso (informal)|o
ew|(som de nojo) eca|g
daylight|a luz do dia|o
genuine|genuíno, não uma cópia; sincero|o;o
notify|notificar, avisar oficialmente|v
origin|origem, onde algo começou|o
torch|lanterna de pilhas (britânico); tocha|o;o
portrait|retrato|o
demonstrate|demonstrar com clareza; manifestar-se, marchar em protesto|v;v
mutter|resmungar, falar baixo e entre dentes|v
somewhat|um tanto, meio|o
mumble|balbuciar, falar sem que se entenda|v
stir|mexer um líquido com a colher; mexer-se um pouco; despertar sentimentos|v;v;v
messenger|mensageiro|o
breeze|brisa; moleza, coisa facílima (informal)|o;o
mechanic|mecânico|o
wealthy|rico, abastado|o
password|senha|o
programme|programme, grafia britânica de program|o
brandy|conhaque|o
dime|moeda de dez centavos (americano)|o
electrical|elétrico, da eletricidade|o
philosophy|filosofia, estudo da vida e do conhecimento; filosofia, modo de pensar|o;o
invasion|invasão|o
bluff|blefar, fingir mais força do que se tem; barranco, penhasco|v;o
institution|instituição, organização consolidada; instituição, costume de sempre|o;o
flavor|sabor; dar sabor a|o;v
mansion|mansão|o
appoint|nomear para um cargo; marcar uma hora|v;v
lunatic|louco; desvairado, muito insensato|o;o
blossom|flor de árvore frutífera; florescer|o;v
cellar|porão, adega|o
herd|manada, rebanho|o
peel|descascar; casca de uma fruta|v;o
helpless|indefeso, incapaz de se virar sozinho|o
arab|árabe, dos povos árabes|o
formal|formal, conforme as regras e as boas maneiras; oficial|o;o
strictly|estritamente, no sentido literal; com rigor|o;o
dimension|dimensão, medida de comprimento, largura ou altura; dimensão, aspecto de um assunto|o;o
hallway|corredor, hall da entrada|o
technical|técnico, de um ofício ou da ciência|o
devastate|devastar, destruir por completo; arrasar, abalar profundamente|v;v
rival|rival, quem compete com você|o
oblige|obrigar por dever; fazer um favor a|v;v
scrub|esfregar com escova para limpar|v
depart|partir, sair|v
brutal|brutal, cruel e violento; brutal, cruamente franco|o;o
behaviour|behaviour, grafia britânica de behavior|o
vain|vaidoso, cheio de si; in vain: em vão|o;n
bicycle|bicicleta|o
deer|veado, cervo|o
absence|ausência, o estar longe; ausência, falta de algo|o;o
convention|convenção, grande encontro de um grupo; convenção, modo aceito de fazer as coisas|o;o
strap|correia, tira para prender|o
tournament|torneio|o
laptop|laptop, computador portátil|o
install|instalar, deixar o equipamento pronto para uso|v
shotgun|espingarda|o
assholes|(vulgar) babacas, escrotos|o
bass|os graves, o registro mais baixo; robalo, peixe grande|o;o
gypsy|cigano, do povo rom|o
hiya|oi, e aí (informal)|o
cd|CD, disco de música ou de dados|o
samurai|samurai|o
wandering|vagando, andando sem rumo|o
consciousness|consciência, o estar desperto e atento; consciência, tudo o que se pensa e sente|o;o
verdict|veredicto do júri; parecer, julgamento dado|o;o
buyer|comprador|o
rally|comício, grande reunião pública; reagrupar-se; recuperar-se|o;v;v
evacuate|evacuar, tirar as pessoas de um lugar perigoso|v
stammer|gaguejar|v
decorate|decorar, deixar mais bonito; pintar e forrar um cômodo|v;v
volume|volume do som; volume, espaço ocupado; volume, tomo de uma coleção|o;o;o
nazi|nazista, membro do partido de Hitler; nazista, desse partido|o;o
conviction|condenação, o ser julgado culpado; convicção, crença firme|o;o
dong|(som grave de um sino grande)|g
olympic|olímpico, dos Jogos Olímpicos|o
handcuff|algema; algemar|o;v
shelf|prateleira|o
jolly|alegre, jovial; muito (britânico)|o;o
outer|externo, de fora; exterior, mais longe do centro|o;o
scoundrel|canalha, sem-vergonha|o
landscape|paisagem, vista ampla do campo; paisagem, o quadro|o;o
surrounding|circundante, que está em volta; (surroundings) os arredores|o;o
pine|pinheiro; definhar de saudade|o;v
fortunately|felizmente, por sorte|o
gotcha|entendi, peguei (informal)|o
specialist|especialista|o
scrape|raspar com algo afiado; escapar por pouco, virar-se raspando|v;v
income|renda, dinheiro que entra com regularidade|o
jingle|(tilintar de sininhos ou moedas)|g
snatch|arrebatar, agarrar de repente|v
eternity|a eternidade; uma eternidade, espera longuíssima|o;o
harvest|colheita, o recolher; a colheita recolhida|o;o
handy|útil, prático; à mão, perto; habilidoso com as mãos|o;o;o
tricky|delicado, que exige cuidado e jeito; astuto, manhoso|o;o
bald|careca|o
hike|caminhada longa pelo campo; alta forte de preços|o;o
misunderstand|entender errado, interpretar mal|v
imply|dar a entender sem dizer abertamente|v
obtain|obter, conseguir|v
compound|composto, coisa feita de partes; complexo, conjunto cercado de prédios|o;o
allah|(Allah) Alá, Deus no islã|o
concrete|concreto, mistura de cimento e pedra; concreto, real e definido|o;o
thread|linha de costura; fio de um raciocínio|o;o
cripple|aleijar, deixar sem andar direito; danificar gravemente|v;v
essential|essencial, absolutamente necessário; o essencial, o ponto central|o;o
bearing|porte, jeito de se portar e mover; (bearings) a orientação, o rumo|o;o
dialogue|diálogo de um livro ou filme; diálogo entre as partes|o;o
lobby|saguão, hall de entrada; grupo de pressão|o;o
fork|garfo; bifurcação, onde a estrada se divide|o;o
loudly|alto, com muito barulho|o
old-fashioned|antiquado, fora de moda|o
marvelous|maravilhoso, que causa admiração|o
good-looking|bonito, agradável de ver|o
sensor|sensor, aparelho que detecta luz, calor ou movimento|o
peg|pino, cavilha de madeira ou metal para pendurar ou prender|o
rider|cavaleiro, ciclista|o
