# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in English. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt.
#
# feats states the class and person of each sense, in the same order and with
# the same ";" separator as the gloss: v=verb, f=finite, g=grammatical,
# n=expression, o=other, followed by any persons (1s 2s 3s 1p 2p 3p). It is
# generated from the gloss, so correct the gloss and re-run — never this.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|you (one person or several)|f2s2p
bass|lowest range of musical sound; large fish|o;o
gypsy|member of a travelling people, Roma|o
hiya|hello (informal)|o
cd|CD, disc holding music or data|o
samurai|Japanese warrior of old|o
wandering|moving about with no fixed course|o
consciousness|being awake and aware; all a person thinks and feels|o;o
verdict|decision of a jury; judgement given|o;o
buyer|person who buys|o
rally|large public meeting; to gather again; to recover|o;v;v
evacuate|to move people out of a dangerous place|v
stammer|to speak with breaks and repeated sounds|v
decorate|to make prettier; to paint and paper a room|v;v
volume|loudness of sound; amount of space; one book of a set|o;o;o
nazi|member of Hitler's party; of that party|o;o
conviction|being found guilty; firm belief|o;o
dong|(deep sound of a large bell)|g
olympic|of the Olympic Games|o
handcuff|metal ring joining a prisoner's wrists; to put these on|o;v
shelf|flat board fixed to a wall for things to stand on|o
jolly|cheerful; very (British)|o;o
outer|on the outside; further from the centre|o;o
scoundrel|dishonest worthless man|o
landscape|wide view of the country; picture of it|o;o
surrounding|lying all round; (surroundings) what is round you|o;o
pine|evergreen tree with needles; to waste away with longing|o;v
fortunately|luckily, as it happens|o
gotcha|got you, I understand (informal)|o
specialist|person who knows one subject deeply|o
scrape|to rub with something sharp; to just manage|v;v
income|money coming in regularly|o
jingle|(light ringing of small bells or coins)|g
snatch|to seize quickly|v
eternity|time without end; very long wait|o;o
harvest|gathering in of crops; the crops gathered|o;o
handy|useful; near at hand; good with the hands|o;o;o
tricky|needing care and skill; sly|o;o
bald|with no hair on the head|o
hike|long walk in the country; sharp rise in price|o;o
misunderstand|to take the wrong meaning from|v
imply|to suggest without saying openly|v
obtain|to get|v
compound|thing made of parts; enclosed group of buildings|o;o
allah|(Allah) God in Islam|o
concrete|hard building material of cement and stone; real, definite|o;o
thread|thin cord for sewing; line of an argument|o;o
cripple|to injure so that walking is hard; to damage badly|v;v
essential|absolutely needed; central point|o;o
bearing|way of standing and moving; (bearings) sense of direction|o;o
dialogue|talk between people in a book or film; talks between sides|o;o
lobby|entrance hall; group pressing for a cause|o;o
fork|tool with prongs for eating; place where a road divides|o;o
loudly|with much noise|o
old-fashioned|of an earlier style, out of date|o
marvelous|wonderful, causing wonder|o
good-looking|pleasant to look at|o
sensor|device that detects light, heat or movement|o
peg|short pin of wood or metal for hanging or fastening|o
rider|person riding a horse or bicycle|o
invention|thing made for the first time; making it up|o;o
wax|soft substance that melts easily, used for candles|o
vest|undershirt (British); waistcoat (American)|o;o
im|(misprint of I'm) I am|f1s
cuff|end of a sleeve; (cuffs) handcuffs|o;o
endless|going on for ever|o
seduce|to lead into sex; to tempt away from what is right|v;v
corp|Corp., short for Corporation|o
ingredient|one of the things a dish is made from|o
congratulate|to tell someone you are glad of their good news|v
ego|a person's sense of their own worth|o
anyhow|in any case; in a careless way|o;o
naive|too ready to believe, lacking experience|o
prosecution|bringing of a case in court; the side that brings it|o;o
consume|to eat or drink; to use up|v;v
exaggerate|to make something sound bigger than it is|v
ambush|surprise attack from hiding; to attack this way|o;v
tickle|to touch lightly so as to make someone laugh|v
argh|(cry of pain or frustration)|g
butler|chief manservant in a large house|o
scatter|to throw about in all directions; to move apart quickly|v;v
aha|(cry of sudden understanding)|g
quarrel|angry argument; to argue angrily|o;v
shutter|hinged cover for a window; part of a camera that opens to let light in|o;o
autograph|famous person's signature|o
transmission|sending out of a signal; part sending power to the wheels|o;o
convenient|easy to use, suiting your needs|o
straw|dry cut stalks of grain; thin tube for drinking|o;o
loop|shape made by a line curving back on itself|o
panty|(panties) women's underpants|o
entitled|having the right to; given a title|o;o
maker|person or firm that makes something|o
originally|at first, before any change|o
pronounce|to say the sounds of a word; to state officially|v;v
vet|animal doctor; person who has served in the forces (American)|o;o
bodyguard|person paid to protect someone|o
lawn|area of cut grass round a house|o
peach|soft round fruit with a stone and downy skin|o
furious|very angry; very fierce|o;o
physics|science of matter, force and energy|o
scenario|way things might turn out; outline of a film|o;o
edit|to prepare writing or film by cutting and correcting|v
umbrella|folding cover on a stick that keeps off rain|o
revolutionary|completely new; person who works to overthrow a government|o;o
convert|to change into something else; to bring to a new belief|v;v
acquire|to get, to come to own|v
dose|measured amount of medicine|o
accurate|exactly right|o
violet|small purple flower; bluish purple|o;o
mushroom|soft fungus eaten as food; to grow very fast|o;v
observation|watching closely; remark made|o;o
underestimate|to think something smaller or weaker than it is|v
dispatch|to send off; to deal with quickly|v;v
generally|usually; by most people; in a broad way|o;o;o
cloth|woven material; piece of it for cleaning|o;o
secretly|without others knowing|o
hockey|team game played with curved sticks and a ball|o
maximum|the most that is possible or allowed|o
forty|40|o
whack|to hit hard; sound of a hard blow|v;o
pond|small area of still water|o
shrimp|small sea animal with a shell, eaten as food|o
craft|skilled work with the hands; boat; cunning|o;o;o
astronaut|person who travels in space|o
lust|strong sexual desire; strong wish for|o;o
drip|to fall in drops; sound of falling drops|v;o
depression|state of deep sadness; time of poor trade; hollow in a surface|o;o;o
substance|matter of a particular kind; most important part|o;o
magician|person who does magic tricks; wizard|o;o
den|animal's home; small private room|o;o
applaud|to clap to show approval|v
frequency|how often something happens; rate of a wave|o;o
honesty|being truthful and fair|o
merchant|person who buys and sells goods in large amounts|o
corridor|long passage in a building|o
drone|aircraft with no pilot; low steady hum|o;o
sleeve|part of a garment covering the arm|o
predator|animal that hunts others; person who preys on people|o;o
toll|charge for using a road; number killed; to ring a bell slowly|o;o;v
disorder|lack of order; illness of body or mind; public unrest|o;o;o
biscuit|small thin dry cake|o
retirement|giving up work at the end of a career|o
sole|only, single; bottom of the foot or shoe; flat sea fish|o;o;o
salute|to raise the hand to the head in respect; act of doing this|v;o
wig|false hair worn on the head|o
shriek|(short loud high cry)|g
settlement|agreement ending a dispute; small village; paying of what is owed|o;o;o
barbecue|meal of meat cooked over a fire out of doors|o
household|all the people living in one house|o
tryin|trying (informal spelling)|o
gap|space between two things; missing part|o;o
presentation|showing or explaining to an audience; way something is set out|o;o
fatal|causing death; leading to disaster|o;o
rack|frame with bars for holding things; to cause great pain|o;v
roam|to wander over a wide area|v
grain|seed of a food plant; tiny hard piece; pattern of lines in wood|o;o;o
tasty|pleasant to eat|o
mademoiselle|Mademoiselle, French form of address for an unmarried woman|o
asian|of Asia|o
blink|to shut and open the eyes quickly|v
presume|to take as true without proof; to be so bold as to|v;v
pregnancy|time when a woman is carrying a child|o
carrot|long orange root eaten as a vegetable|o
herb|plant used for flavour or medicine|o
dizzy|feeling that things are spinning round you|o
oak|large hardwood tree that bears acorns|o
sequence|order in which things follow; set of shots in a film|o;o
minimum|the least that is possible or allowed|o
hee|(sound of a high giggling laugh)|g
scam|dishonest scheme to get money|o
mutant|living thing changed from its normal form|o
chopper|helicopter (informal); heavy cutting tool|o;o
prescription|doctor's written order for medicine|o
stash|to hide away for later; hidden store|v;o
th|(in 4th, 5th) ending that marks an ordinal number|o
deceased|dead; the dead person|o;o
sleepy|ready for sleep; quiet with little going on|o;o
bugger|(vulgar, British) awkward person or thing; to ruin|o;v
static|not moving or changing; crackling noise on a radio|o;o
almighty|having all power; very great (informal)|o;o
climate|usual weather of an area; general feeling of a time|o;o
approval|agreement that something may be done; good opinion|o;o
trouser|(trousers) garment covering the legs|o
snarl|(angry growling sound with bared teeth)|g
capacity|how much something can hold; ability; post held|o;o;o
legally|by law, in a way the law allows|o
regulation|rule made by those in charge; controlling|o;o
amaze|to fill with wonder|v
rupee|unit of money in India and Pakistan|o
domestic|of the home; of one country, not foreign|o;o
ransom|money demanded for the return of a prisoner|o
triple|three times as much; having three parts|o;o
spite|wish to hurt someone; in spite of: despite|o;n
clearing|open space in a forest|o
fortunate|lucky|o
preparation|getting ready; thing made ready|o;o
maniac|wildly mad or reckless person|o
gin|strong clear spirit flavoured with juniper|o
topic|subject spoken or written about|o
swap|to exchange one thing for another|v
intel|secret information gathered (informal)|o
growth|growing; increase in size or amount|o;o
casualty|person hurt or killed; hospital department for emergencies|o;o
volcano|mountain that throws out hot molten rock|o
economic|to do with money and trade; making a profit|v;o
theirs|belonging to them|o
firework|device that burns with coloured lights and bangs|o
aspect|one side of a matter; way something looks|o;o
sister-in-law|sister of your husband or wife; wife of your brother|o;o
hilarious|extremely funny|o
exploit|to use unfairly for your own gain; bold deed|v;o
salesman|man whose job is selling|o
prank|trick played for fun|o
laboratory|room fitted out for scientific work|o
exclusive|shut to all but a few; not shared with others|o;o
runway|strip where aircraft take off and land|o
confusion|state of being mixed up or unclear|o
expectation|belief that something will happen|o
cord|thin rope; length of electric wire|o;o
dame|title for a woman honoured as a knight is; woman (dated American)|o;o
bombing|attack with bombs|o
dreadful|very bad, causing dread|o
kilo|kilogram, 1,000 grams|o
february|second month of the year|o
forehead|part of the face above the eyes|o
racist|treating people badly because of their race; person who does this|o;o
rebuild|to build again after damage|v
brass|yellow metal of copper and zinc; instruments made of it|o;o
egyptian|of Egypt|o
buffalo|large wild ox|o
exhibit|to show in public; thing shown|v;o
manual|done with the hands; book of instructions|o;o
rarely|not often|o
railway|track and system for trains (British)|o
chemistry|science of substances and how they act together|o
puke|(informal) to vomit|v
delete|to rub out or remove from a list|v
lottery|game of chance with numbered tickets|o
publicity|attention given by the papers and public|o
objective|aim to be reached; not coloured by feeling|o;o
tremendous|very great; very good (informal)|o;o
cape|sleeveless cloak; piece of land jutting into the sea|o;o
intimate|very close and personal; sexual|o;o
eager|full of keen wish to do something|o
scholarship|money given to a student to study; deep learning|o;o
telegram|message sent by wire and delivered on paper|o
allergic|made ill by a substance most people bear|o
logic|reasoning that follows step by step|o
gratitude|being thankful|o
thug|violent criminal|o
ultimately|in the end; at bottom|o;o
majority|greater number, more than half|o
calculate|to work out with numbers|v
bent|not straight, curved; bent on: set on doing|o;n
metre|metre, British spelling of meter|o
ink|coloured liquid used for writing|o
administration|running of an organisation; government in power|o;o
reform|to change for the better; such a change|v;o
passionate|full of strong feeling|o
precise|exact, with no room for doubt|o
jeans|trousers of strong cotton cloth|o
via|by way of; by means of|o;o
inmate|person kept in a prison or hospital|o
lease|contract to rent property for a time|o
fuse|safety wire that melts if too much current flows; to join by melting|o;v
retard|(offensive) person of low intelligence; to slow down|o;v
bomber|aircraft that drops bombs; person who plants a bomb|o;o
buddha|(the Buddha) founder of Buddhism|o
donor|person who gives blood, an organ or money|o
dam|wall built to hold back water|o
minus|less, with the amount taken away; below zero|o;o
athlete|person trained in sport|o
aww|(sound of sympathy or tenderness)|g
nerd|person seen as dull and too fond of study|o
healing|making well again|o
obligation|duty you must carry out|o
boundary|line marking the edge of an area|o
versus|against, as one side to the other|o
anchor|heavy hook that holds a ship in place; presenter of a news programme|o;o
dodge|to move quickly aside to avoid; to get out of by a trick|v;v
leaf|flat green part growing from a stem; sheet of a book|o;o
melody|tune|o
reunion|meeting again after a long time|o
landlord|person who rents out a house; keeper of a pub|o;o
ache|steady dull pain; to hurt in this way|o;v
calendar|chart of the days and months of a year|o
labour|labour, British spelling of labor|o
triumph|great victory; joy at winning|o;o
descend|to go down; descend from: to come down through a family|v;n
anxiety|worried uneasy feeling|o
beggar|person who asks strangers for money|o
creek|small stream (American); narrow inlet of the sea|o;o
inviting|tempting, pleasant to look at|o
wooden|made of wood; stiff and awkward|o;o
innocence|being free of guilt; knowing no evil|o;o
railroad|track and system for trains (American)|o
avenge|to punish someone for a wrong done|v
ape|large tailless animal like a monkey; to copy|o;v
unh|(low sound of effort or pain)|g
replacement|person or thing taking the place of another|o
antique|old and valuable object; from an earlier time|o;o
lobster|large sea animal with a shell and big claws|o
accomplice|person who helps another commit a crime|o
torment|great suffering; to cause it|o;v
sickness|being ill; vomiting|o;o
comb|toothed strip for tidying the hair|o
pupil|child at school; dark centre of the eye|o;o
messy|untidy and dirty; confused and unpleasant|o;o
continent|one of the great land masses of the earth|o
prophet|person who speaks the word of God and foretells|o
earring|ornament worn on the ear|o
robe|long loose garment worn on formal occasions|o
seventh|7th|o
cue|signal for an actor to speak; long stick used in billiards|o;o
undo|to unfasten; to cancel what was done|v;v
limb|arm or leg; large branch|o;o
diner|small cheap restaurant (American); person eating a meal|o;o
ballet|dance form telling a story without words|o
alcoholic|person who cannot give up drink; containing alcohol|o;o
download|to copy a file from the internet|v
tumor|lump of unwanted growth in the body|o
barrier|fence or bar that blocks the way; thing that stops progress|o;o
harmless|doing no harm|o
curiosity|wish to know; strange rare object|o;o
vicious|cruel and violent; spiteful|o;o
tremble|to shake slightly with fear or cold|v
translation|putting into another language; text so made|o;o
grind|to crush to powder; to rub harshly together|v;v
mortgage|loan taken to buy a house|o
greedy|wanting more than your share|o
zip|fastener with two rows of teeth; to move fast|o;v
fountain|jet of water thrown up for show|o
fog|thick cloud at ground level|o
flu|illness with fever and aching|o
sabotage|damage done on purpose to hinder an enemy|o
architect|person who designs buildings|o
interrogation|long hard questioning|o
autumn|season between summer and winter|o
kneel|to go down on the knees|v
bartender|person who serves drinks at a bar|o
arrogant|thinking yourself better than others|o
frost|thin white ice formed in cold weather|o
compel|to force someone to do|v
sperm|male seed that fertilises the egg|o
scrap|small piece left over; to throw out; fight (informal)|o;v;o
fare|money paid for a journey|o
demonstration|march in protest; showing how something works|o;o
bun|small round bread roll; hair coiled at the back|o;o
op|operation (informal)|o
shuttle|craft or bus going to and fro on a short route|o
whatsoever|at all, of any kind|o
grenade|small bomb thrown by hand|o
homeland|country where you were born|o
intrigue|secret plotting; to rouse the interest of|o;v
teen|teenager; of the years 13 to 19|o;o
gp|GP, family doctor (British)|o
memorial|thing set up in memory of the dead|o
yankee|person from the United States, especially the north|o
haircut|cutting of the hair; way it is cut|o;o
provoke|to stir someone to anger; to bring about|v;v
mode|way in which something is done; setting of a machine|o;o
approximately|about, roughly|o
ivy|climbing plant with dark shiny leaves|o
fabric|cloth; structure holding something together|o;o
accountant|person who keeps money records|o
reign|rule of a king or queen; to rule|o;v
sip|to drink in small mouthfuls|v
sniper|person who shoots from a hidden position|o
ha-ha|(sound of laughter)|g
unlikely|not to be expected; hard to believe|o;o
database|store of information held on a computer|o
choir|group who sing together|o
strawberry|small soft red fruit with seeds outside|o
scarf|strip of cloth worn round the neck|o
generate|to bring into being; to make power|v;v
heartbeat|single beat of the heart|o
lighting|lamps that light a place; way light is set|o;o
mutual|felt by each towards the other; shared|o;o
rogue|dishonest man; acting on its own and dangerous|o;o
accusation|saying that someone has done wrong|o
beware|to be on your guard against|v
cottage|small house in the country|o
spear|weapon with a long shaft and pointed head|o
carve|to cut into shape; to cut meat into slices|v;v
assemble|to gather together; to put the parts together|v;v
snort|(rough sound made through the nose)|g
offensive|causing anger or disgust; attack made by an army|o;o
balcony|platform outside an upper window; upper seats in a theatre|o;o
discount|amount taken off the price; to dismiss as unlikely|o;v
dice|small cube with spots used in games; to cut into cubes|o;v
analyze|to study the parts of something closely|v
armor|metal covering worn in battle or fitted to a vehicle|o
expedition|journey made for a purpose|o
poverty|state of being poor|o
wit|quick clever humour; good sense|o;o
leadership|being the leader; those who lead|o;o
turk|person from Turkey|o
abortion|ending of a pregnancy on purpose|o
scissor|(scissors) tool with two blades for cutting|o
canal|channel dug for boats or water|o
violation|breaking of a law or agreement|o
legacy|money left in a will; what is handed down from the past|o;o
axe|tool with a heavy blade for chopping wood|o
stumble|to catch your foot and nearly fall; to speak with breaks|v;v
clap|to strike the hands together|v
bam|(sound of a sudden hard blow)|g
collector|person who collects things|o
conclude|to bring to an end; to decide after thinking|v;v
pawn|to leave with a lender as security for money; least valuable chess piece|v;o
banker|person who runs or works in a bank|o
distinguish|to see the difference between; to make out|v;v
correctly|rightly, with no mistake|o
diaper|cloth or pad worn by a baby (American)|o
buzzer|device that makes a buzzing signal|o
intern|trainee doing a job to learn; to shut up in a camp|o;v
errand|short journey to fetch or deliver|o
countess|wife of an earl or count; woman of that rank|o;o
whew|(sound of relief)|g
decline|to refuse politely; to fall in number or strength|v;v
immortal|living for ever; never forgotten|o;o
font|style and size of printed letters|o
venture|risky undertaking; to dare to go or say|o;v
abduct|to take a person away by force|v
headline|title at the top of a news story|o
rash|acting without thought; red spots on the skin|o;o
rhyme|word ending in the same sound as another; short poem|o;o
pod|long seed case of peas and beans; detachable part of a craft|o;o
plea|earnest request; answer of an accused person|o;o
lipstick|colour for the lips in a stick|o
ta|thank you (British informal)|o
auto|car (American)|o
logical|following clear reasoning|o
vacuum|space with no air in it; to clean with a suction machine|o;v
carbon|element found in coal and all living things|o
independence|being free of the control of others|o
stepping|putting the foot down|o
fanny|buttocks (American); (vulgar, British) female sex organs|o;o
upbeat|cheerful and hopeful|o
drowning|dying under water|o
quest|long search for something|o
pension|money paid regularly after retirement|o
grid|pattern of crossing lines; network carrying power|o;o
notebook|small book for notes; small laptop|o;o
pudding|sweet dish at the end of a meal|o
brace|support that holds parts firm; (braces) wire for straightening teeth|o;o
cooperation|working together willingly|o
sailing|travelling by boat|o
virtue|goodness of character; good quality|o;o
sincere|honest in what you say and feel|o
whoosh|(sound of something rushing past)|g
classified|kept secret by the state; sorted into groups|o;o
fag|cigarette (British informal); (offensive) homosexual man|o;o
pursuit|chasing after; activity you spend time on|o;o
reliable|able to be trusted to work or be true|o
spectacular|grand and striking to see|o
variety|number of different kinds; change from what is usual|o;o
sophisticated|worldly and refined; complex and advanced|o;o
agenda|list of matters to be dealt with; aims someone is pushing|o;o
elegant|graceful and in good taste|o
spice|substance used to flavour food|o
curve|line that bends smoothly; to bend in this way|o;v
tribal|of a tribe|o
owl|night bird with large eyes that hunts|o
rail|bar of a fence; metal track for trains|o;o
saddle|seat for a rider on a horse or bicycle|o
reader|person who reads|o
marsh|low wet ground|o
pyramid|solid shape with a square base and sloping sides meeting at a point|o
swan|large white water bird with a long neck|o
annual|happening once a year; lasting a year|o;o
crucial|of the greatest importance to the result|o
stew|dish of meat and vegetables cooked slowly in liquid|o
expel|to send out by force; to throw out of a school|v;v
gown|long dress for a formal occasion; loose robe|o;o
sofa|long soft seat with a back and arms|o
vagina|passage leading to a woman's womb|o
despair|loss of all hope; to lose hope|o;v
faggot|(offensive) homosexual man|o
backyard|enclosed ground behind a house|o
whereabouts|place where someone is; roughly where|o;o
dolphin|sea animal with a beak-like snout that breathes air|o
negotiation|talks held to reach an agreement|o
literature|written works of lasting worth|o
morgue|place where dead bodies are kept|o
coconut|large nut with white flesh and milk inside|o
sexually|in a sexual way|o
radical|going to the root, thorough; wanting great change|o;o
maiden|(old) unmarried girl; first of its kind|o;o
dwarf|very short person; small being in stories|o;o
generator|machine that makes electricity|o
welfare|health and comfort of people; money paid by the state to those in need|o;o
probe|to look into thoroughly; instrument for exploring|v;o
behold|(old) to look at, to see|v
donation|gift of money to a good cause|o
elbow|joint in the middle of the arm|o
contribute|to give a share; to help bring about|v;v
rumour|rumour, British spelling of rumor|o
transplant|to move an organ from one body to another; to move a plant|v;v
equally|to the same degree; in equal shares|o;o
flaw|fault that spoils something|o
belonging|(belongings) things you own; feeling of being at home|o;o
shipment|goods sent; sending of them|o;o
failing|weakness of character; falling short|o;o
courtesy|polite behaviour; courtesy of: given free by|o;n
refugee|person who has fled from danger to another country|o
adapt|to change to fit new conditions|v
penguin|black and white sea bird that swims but cannot fly|o
undress|to take clothes off|v
fisherman|person who catches fish|o
quid|pound in money (British informal)|o
fragile|easily broken; weak|o;o
grape|small green or purple fruit growing in bunches|o
fiction|writing about imagined people and events|o
republican|of a republic; member of the Republican party|o;o
pastor|minister in charge of a church|o
runner|person who runs|o
cub|young lion, bear or fox|o
ridge|long narrow raised strip of ground|o
sadly|in a sad way; sad to say|o;o
tab|small flap or label; bill in a bar (American)|o;o
importantly|in a way that matters; more importantly: what matters more|o;n
cooler|box that keeps drinks cold; less warm|o;o
industrial|to do with making goods in factories|v
vibrate|to shake rapidly to and fro|v
slim|thin in an attractive way; small, faint|o;o
stray|to wander away; lost animal with no home|v;o
shovel|broad spade for lifting loose material|o
evolution|slow development of living things over time|o
notion|idea, vague belief|o
blond|fair-haired, said of a man|o
injection|putting of medicine into the body with a needle|o
grasp|to take firm hold of; to understand|v;v
horny|(informal) sexually aroused|o
suitable|right for the purpose or occasion|o
examination|close look at something; test of knowledge|o;o
inaudible|(subtitle note) too quiet to be heard|o
son-in-law|husband of your daughter|o
pumpkin|large round orange vegetable|o
brag|to boast|v
puff|short burst of air or smoke; to breathe hard|o;v
squirrel|small bushy-tailed animal that climbs trees|o
intimidate|to frighten someone into doing what you want|v
harmony|notes sounding well together; peaceful agreement|o;o
lens|curved glass that bends light, as in a camera or eye|o
cardinal|senior priest who elects the pope; of first importance|o;o
strongly|with force; very firmly|o;o
horizon|line where earth and sky seem to meet|o
container|box or tin for holding things; large metal case for cargo|o;o
perimeter|outer edge of an area|o
camel|desert animal with one or two humps|o
yea|(old) yes|o
arise|to come up, to happen; to get up|v;v
'but|(misprint of but) but|o
grieve|to feel deep sorrow, especially at a death|v
pea|small round green seed eaten as a vegetable|o
hostile|unfriendly, acting like an enemy|o
realm|kingdom; area of activity or knowledge|o;o
vomit|to bring up food from the stomach|v
cultural|to do with the arts and way of life of a people|v
inquiry|official investigation; question asked|o;o
cheque|written order to a bank to pay money (British)|o
lyric|words of a song; short poem of feeling|o;o
rug|small thick floor mat; blanket|o;o
honorable|deserving respect, honest; (title for certain officials)|o;g
violin|small stringed instrument played with a bow|o
shiny|smooth and bright|o
phenomenon|remarkable thing that happens; fact observed|o;o
briefcase|flat case for carrying papers|o
hallelujah|(shout of praise to God)|g
mint|plant with strong-smelling leaves used for flavour; place where coins are made|o;o
howdy|hello (American informal)|o
dj|DJ, person who plays records for an audience|o
trumpet|brass instrument played by blowing|o
wheelchair|chair on wheels for someone who cannot walk|o
supervisor|person who oversees work|o
exile|being sent away from your own country; person sent away|o;o
jeep|small strong vehicle for rough ground|o
skeleton|frame of bones in a body|o
dynamite|powerful explosive|o
stripper|performer who takes off their clothes|o
thigh|part of the leg above the knee|o
unpleasant|not nice, causing dislike|o
jealousy|resentment of what another has; fear of a rival in love|o;o
barge|flat boat for carrying goods on rivers; to push roughly past|o;v
toxic|poisonous|o
absorb|to take in liquid or knowledge; to hold the full attention of|v;v
sadness|being sad|o
needn|(in needn't) need not|o
cult|small religious group with strange beliefs; admired by a devoted few|o;o
tactic|way of acting chosen to reach an aim|o
tray|flat board with raised edges for carrying food|o
sensible|having good sense; practical|o;o
atom|smallest particle of an element|o
distraction|thing that takes attention away; amusement|o;o
graduation|finishing of a course of study|o
villager|person who lives in a village|o
documentary|film giving facts about real events|o
liking|fondness for something|o
stadium|large sports ground with seats all round|o
regardless|paying no attention; regardless of: in spite of|o;n
organic|grown without chemicals; of living things|o;o
poisoning|harm done by a poison|o
cartoon|drawn film; funny drawing in a paper|o;o
software|programs that run on a computer|o
awhile|for a short time|o
psych|(psych out) to unnerve; psychology (informal)|v;o
conscious|awake and aware; done on purpose|o;o
deliberately|on purpose; slowly and carefully|o;o
clone|living thing grown from the cells of another; exact copy|o;o
psychological|to do with the mind|v
cope|to manage in spite of difficulty|v
grandchild|child of your son or daughter|o
follower|person who supports a leader or belief|o
untie|to undo a knot or fastening|v
buster|(used in speaking roughly to a man) mate|o
globe|the earth; ball with a map of the world on it|o;o
sayin|saying (informal spelling)|o
werewolf|person who turns into a wolf in stories|o
rehab|treatment to break a drug or drink habit|o
grown-up|adult|o
tidy|neat and in order; to put in order|o;v
tow|to pull a vehicle behind another|v
mainly|for the most part|o
biological|to do with living things|v
submarine|ship that travels under water|o
precinct|police district (American); area closed to traffic|o;o
fugitive|person running from the law|o
swiss|of Switzerland|o
congressman|member of the US Congress|o
boxer|person who fights with fists as a sport|o
marble|hard stone that polishes well; small glass ball for games|o;o
brand-new|completely new|o
duel|fight between two people with weapons|o
millionaire|person with a million or more in money|o
hollow|with an empty space inside; not sincere|o;o
keeper|person who looks after something|o
conceal|to hide, to keep secret|v
spying|watching secretly to gather information|o
disable|to make unable to work; to make unfit|v;v
parliament|body that makes a country's laws|o
elite|the few thought best; of the best|o;o
neglect|to fail to look after; lack of care|v;o
obstacle|thing standing in the way|o
salmon|large pink-fleshed fish that swims up rivers|o
bizarre|very strange and odd|o
i-i-i|(stammered and drawn out) I|f1s
concentration|giving full attention; amount of a substance in a mixture|o;o
confidential|meant to be kept secret|o
initiate|to start something off; to bring into a group|v;v
hunch|feeling that something is so, without proof; to bend the shoulders forward|o;v
integrity|being honest and true to your principles; being whole|o;o
despise|to look down on with scorn|v
senate|upper house of a law-making body|o
mentally|in the mind|o
beautifully|in a lovely way; very well|o;o
lawsuit|case brought against someone in court|o
razor|sharp blade for shaving|o
altogether|completely; in total; on the whole|o;o;o
canyon|deep narrow valley with steep sides|o
betting|risking money on a result|o
blend|to mix smoothly; mixture so made|v;o
fierce|violent and angry; very strong|o;o
intent|firm purpose; determined on doing|o;o
inspection|official check to see all is in order|o
relevant|having to do with the matter in hand|o
mafia|organised criminal society|o
intact|whole, with no part damaged|o
kiddo|(used in speaking to a young person) kid|o
occasionally|now and then, not often|o
vent|opening that lets air or gas out; to let feelings out|o;v
identical|exactly the same|o
mattress|thick pad on a bed|o
scholar|person of deep learning; student with a scholarship|o;o
tenant|person who rents a home from a landlord|o
classical|of ancient Greece and Rome; of serious traditional music|o;o
consistent|always the same; not contradicting itself|o;o
harass|to trouble again and again|v
consideration|careful thought; thought for others' feelings|o;o
stove|apparatus for cooking or heating|o
fitting|right for the occasion; trying on of clothes|o;o
legitimate|allowed by law; reasonable|o;o
obsession|thought that fills the mind and will not go|o
warp|to bend out of shape; to twist someone's nature|v;v
ciao|(Italian) hello, goodbye|o
coroner|official who looks into sudden deaths|o
peep|to look quickly through a small opening; short high sound|v;o
jade|hard green stone used for ornaments|o
orchestra|large group playing many kinds of instrument|o
moonlight|light of the moon|o
comet|body in space with a bright tail|o
granddaughter|daughter of your son or daughter|o
lira|former unit of money in Italy; unit of money in Turkey|o;o
gaze|to look long and steadily|v
digital|shown in numbers; storing data as numbers|o;o
attic|room in the roof of a house|o
jr|Jr., the younger, put after a son's name|o
lizard|small four-legged reptile with a long tail|o
mule|animal bred from a horse and a donkey|o
shaft|long narrow passage down; long handle; bar that turns in a machine|o;o;o
sentimental|full of tender feeling; too easily moved|o;o
grudge|lasting resentment for a wrong|o
import|to bring goods in from abroad; goods so brought|v;o
kilometer|1,000 metres|o
feds|(informal) federal agents of the United States|o
bash|to hit hard; party (informal)|v;o
whisky|strong drink made from grain (British spelling)|o
pier|structure built out over the sea|o
extract|to pull out; part taken from a book or film|v;o
orphanage|home for children whose parents are dead|o
aunty|aunt (informal)|o
photography|art of taking photographs|o
inappropriate|not right for the occasion|o
vengeance|harm done in return for a wrong|o
clang|(loud ringing sound of metal)|g
acquaintance|person you know slightly; slight knowledge of something|o;o
junkie|drug addict (informal)|o
tutor|teacher who works with one pupil or a few|o
lifestyle|way a person lives|o
'it|(misprint of it) it|f3s
manufacture|to make goods in large amounts|v
sinner|person who does wrong against religious law|o
cracker|thin dry biscuit; paper tube pulled at Christmas|o;o
interior|inside part; inland|o;o
physician|doctor of medicine|o
chapel|small church or place of worship|o
desperately|in a way that shows there is no hope; very badly|o;o
riddle|puzzling question asked for fun|o
nazis|Nazis, Hitler's party and its members|o
hose|long tube for carrying water|o
fragment|small piece broken off|o
prop|support that holds something up; object used in a play|o;o
sneeze|to blow air out of the nose suddenly and loudly|v
scoop|deep spoon for lifting loose material; news story got first|o;o
